	line_break_and_label	source	doi	line_break_and_fiducial	posted_date	covid_preprint	title	abstract	is_published	published_doi	published_link_type	published_title	published_date	published_journal	published_publisher	delay_in_days	published_pubmed_abstract	published_abstract_source	published_abstract_source_notes	abstract_change	change_outcomes	difflib standard change_ratio	new_change_ratio (re-arrangements at 0.5)	new_change_ratio (re-arrangements at 0.0)	exclude	page_breaks	raw_char_change_Word
1	(((((( Preprint DOI: 	medrxiv	10.1101/19005710	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Symbolic transfer entropy reveals the age structure of pandemic influenza transmission from high-volume influenza-like illness data	Existing methods to infer the relative roles of age groups in epidemic transmission can normally only accommodate a few age classes, and/or require data that are highly specific for the disease being studied. Here, symbolic transfer entropy (STE), a measure developed to identify asymmetric transfer of information between stochastic processes, is presented as a way to determine which age groups drive an epidemic. STE provides a ranking of which age groups dominate transmission, rather than a reconstruction of the explicit between-age-group transmission matrix. Using simulations, we establish that STE can identify which age groups dominate transmission, even when there are differences in reporting rates between age groups and even if the data is noisy. Then, the pairwise STE is calculated between time series of influenza-like illness for 12 age groups in 884 US cities during the autumn of 2009. Elevated STE from 5-19 year-olds indicates that school-aged children were the most important transmitters of infection during the autumn wave of the 2009 pandemic in the US. The results may be partially confounded by higher rates of physician-seeking behaviour in children compared to adults, but it is unlikely that differences in reporting rates can explain the observed differences in STE.	TRUE	10.1098/rsif.2019.0628	publication_notice	Symbolic transfer entropy reveals the age structure of pandemic influenza transmission from high-volume influenza-like illness data	########	Journal of The Royal Society Interface	The Royal Society	181	Existing methods to infer the relative roles of age groups in epidemic transmission can normally only accommodate a few age classes, and/or require data that are highly specific for the disease being studied. Here, symbolic transfer entropy (STE), a measure developed to identify asymmetric transfer of information between stochastic processes, is presented as a way to reveal asymmetric transmission patterns between age groups in an epidemic. STE provides a ranking of which age groups may dominate transmission, rather than a reconstruction of the explicit between-age-group transmission matrix. Using simulations, we establish that STE can identify which age groups dominate transmission even when there are differences in reporting rates between age groups and even if the data are noisy. Then, the pairwise STE is calculated between time series of influenza-like illness for 12 age groups in 884 US cities during the autumn of 2009. Elevated STE from 5 to 19 year-olds indicates that school-aged children were likely the most important transmitters of infection during the autumn wave of the 2009 pandemic in the USA. The results may be partially confounded by higher rates of physician-seeking behaviour in children compared to adults, but it is unlikely that differences in reporting rates can explain the observed differences in STE.	Copied	NA	0	1	0.04318181818	0.07528818444	0.07132564841	keep	??????	
2	(((((( Preprint DOI: 	medrxiv	10.1101/19006031	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Cognitive functioning and lifetime Major Depressive Disorder in UK Biobank	Background. Cognitive impairment associated with lifetime Major Depressive Disorder (MDD) is well-supported by meta-analytic studies, but population-based estimates remain scarce. Previous UK Biobank studies have only shown limited evidence of cognitive differences related to probable MDD. Using updated cognitive and clinical assessments in UK Biobank, this study investigated population-level differences in cognitive functioning associated with lifetime MDD. Methods. Associations between lifetime MDD and cognition (performance on six tasks and general cognitive functioning (g-factor)) were investigated in UK Biobank (N-range 7,457-14,836, age 45-81 years, 52% female), adjusting for demographics, education and lifestyle. Lifetime MDD classifications were based on the Composite International Diagnostic Interview. Within the lifetime MDD group, we additionally investigated relationships between cognition and (i) recurrence, (ii) current symptoms, (iii) severity of psychosocial impairment (while symptomatic), and (iv) concurrent psychotropic medication use. Results. Lifetime MDD was robustly associated with a lower g-factor ({beta} = -0.10, P(FDR) = 4.7x10-5), with impairments in attention, processing speed and executive functioning ({beta} [&ge;] 0.06). Clinical characteristics revealed differential profiles of cognitive impairment among case individuals; those who reported severe psychosocial impairment and use of psychotropic medication performed worse on cognitive tests. Severe psychosocial impairment and reasoning showed the strongest association ({beta} = -0.18, P(FDR) = 7.5x10-5). Conclusions. Findings describe small but robust associations between lifetime MDD and lower cognitive performance within a population based sample. Overall effects were of modest effect size, suggesting limited clinical relevance. However, deficits within specific cognitive domains were more pronounced in relation to clinical characteristics, particularly severe psychosocial impairment.	TRUE	10.1192/j.eurpsy.2020.24	publication_notice	Cognitive functioning and lifetime major depressive disorder in UK Biobank	########	European Psychiatry	Royal College of Psychiatrists	165	Background.: Cognitive impairment associated with lifetime major depressive disorder (MDD) is well-supported by meta-analytic studies, but population-based estimates remain scarce. Previous UK Biobank studies have only shown limited evidence of cognitive differences related to probable MDD. Using updated cognitive and clinical assessments in UK Biobank, this study investigated population-level differences in cognitive functioning associated with lifetime MDD.        Methods.: Associations between lifetime MDD and cognition (performance on six tasks and general cognitive functioning [g-factor]) were investigated in UK Biobank (N-range 7,457-14,836, age 45-81 years, 52% female), adjusting for demographics, education, and lifestyle. Lifetime MDD classifications were based on the Composite International Diagnostic Interview. Within the lifetime MDD group, we additionally investigated relationships between cognition and (a) recurrence, (b) current symptoms, (c) severity of psychosocial impairment (while symptomatic), and (d) concurrent psychotropic medication use.        Results.: Lifetime MDD was robustly associated with a lower g-factor (ß = -0.10, PFDR = 4.7 × 10-5), with impairments in attention, processing speed, and executive functioning (ß = 0.06). Clinical characteristics revealed differential profiles of cognitive impairment among case individuals; those who reported severe psychosocial impairment and use of psychotropic medication performed worse on cognitive tests. Severe psychosocial impairment and reasoning showed the strongest association (ß = -0.18, PFDR = 7.5 × 10-5).        Conclusions.: Findings describe small but robust associations between lifetime MDD and lower cognitive performance within a population-based sample. Overall effects were of modest effect size, suggesting limited clinical relevance. However, deficits within specific cognitive domains were more pronounced in relation to clinical characteristics, particularly severe psychosocial impairment.	Copied	NA	1	0	0.02822882838	0.05817307692	0.05817307692	keep	??????	
3	(((((( Preprint DOI: 	medrxiv	10.1101/19006171	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Deep-learning-based Prediction of Late Age-Related Macular Degeneration Progression	Both genetic and environmental factors influence the etiology of age-related macular degeneration (AMD), a leading cause of blindness. AMD severity is primarily measured by fundus images and recently developed machine learning methods can successfully predict AMD progression using image data. However, none of these methods have utilized both genetic and image data for predicting AMD progression. Here we jointly used genotypes and fundus images to predict an eye as having progressed to late AMD with a modified deep convolutional neural network (CNN). In total, we used 31,262 fundus images and 52 AMD-associated genetic variants from 1,351 subjects from the Age-Related Eye Disease Study (AREDS) with disease severity phenotypes and fundus images available at baseline and follow-up visits over a period of 12 years. Our results showed that fundus images coupled with genotypes could predict late AMD progression with an averaged area under the curve (AUC) value of 0.85 (95%CI: 0.83-0.86). The results using fundus images alone showed an averaged AUC of 0.81 (95%CI: 0.80-0.83). We implemented our model in a cloud-based application for individual risk assessment.	TRUE	10.1038/s42256-020-0154-9	publication_notice	Deep-learning-based prediction of late age-related macular degeneration progression	########	Nature Machine Intelligence	Springer Science and Business Media LLC	151	Both genetic and environmental factors influence the etiology of age-related macular degeneration (AMD), a leading cause of blindness. AMD severity is primarily measured by images of the fundus of the retina and recently developed machine learning methods can successfully predict AMD progression using image data. However, none of these methods have used both genetic and image data for predicting AMD progression. Here we used both genotypes and fundus images to predict whether an eye had progressed to late AMD with a modified deep convolutional neural network. In total, we used 31,262 fundus images and 52 AMD-associated genetic variants from 1,351 subjects from the Age-Related Eye Disease Study, which provided disease severity phenotypes and fundus images available at baseline and follow-up visits over a period of 12 years. Our results showed that fundus images coupled with genotypes could predict late AMD progression with an averaged area-under-the-curve value of 0.85 (95% confidence interval 0.83–0.86). The results using fundus images alone showed an averaged area under the receiver operating characteristic curve value of 0.81 (95% confidence interval 0.80–0.83). We implemented our model in a cloud-based application for individual risk assessment.	Copied	NA	0	1	0	0	0	keep	??????	
4	(((((( Preprint DOI: 	medrxiv	10.1101/19006478	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Multifocal breast cancers are more prevalent in BRCA2 versus BRCA1 mutation carriers	Multifocal breast cancer is generally considered to be where two or more breast tumours are present within the same breast, but are clearly separated with no intervening in situ or invasive disease. It is seen in ~10% of breast cancer cases. This study investigates multifocality prevalence in BRCA1/2 mutant patients via cross-sectional analysis. Data from 211 women with BRCA1/2 mutations (91 BRCA1), (120 BRCA2), with breast cancer were collected including age, tumour focality, size, type, grade, and receptor profile. The prevalence of multifocality within this group was 25%, but within subgroups, prevalence amongst BRCA2 carriers was more than double that of BRCA1 carriers (p=0.001). Women affected by multifocal tumours had proportionately higher oestrogen receptor positivity (p=0.001), lower triple negativity (p=0.004), and were more likely to be younger at diagnosis compared with those with unifocal tumours (p=0.039). Odds of a BRCA2 carrier developing multifocal cancer were almost four-fold higher than a BRCA1 carrier (OR: 3.71, CI: 1.77 to 7.78, p=0.001). BRCA2 carriers show much greater multifocality than those carrying BRCA1. Multifocal tumours are strongly associated with being both BRCA2 mutant and oestrogen receptor positive.	TRUE	10.1002/cjp2.155	publication_notice	Multifocal breast cancers are more prevalent in       BRCA2       versus       BRCA1       mutation carriers	########	The Journal of Pathology: Clinical Research	Wiley	145	Multifocal (MF)/multicentric (MC) breast cancer is generally considered to be where two or more breast tumours are present within the same breast, and is seen in ~10% of breast cancer cases. This study investigates the prevalence of multifocality/multicentricity in a cohort of BRCA1/2 mutation carriers with breast cancer from Northern Ireland via cross‐sectional analysis. Data from 211 women with BRCA1/2 mutations (BRCA1 ‐91, BRCA2 ‐120) and breast cancer were collected including age, tumour focality, size, type, grade and receptor profile. The prevalence of multifocality/multicentricity within this group was 25% but, within subgroups, prevalence amongst BRCA2 carriers was more than double that of BRCA1 carriers (p = 0.001). Women affected by MF/MC tumours had proportionately higher oestrogen receptor positivity (p = 0.001) and lower triple negativity (p = 0.004). These observations are likely to be driven by the higher BRCA2 mutation prevalence observed within this cohort. The odds of a BRCA2 carrier developing MF/MC cancer were almost four‐fold higher than a BRCA1 carrier (odds ratio: 3.71, CI: 1.77–7.78, p = 0.001). These findings were subsequently validated in a second, large independent cohort of patients with BRCA ‐associated breast cancers from a UK‐wide multicentre study. This confirmed a significantly higher prevalence of MF/MC tumours amongst BRCA2 mutation carriers compared with BRCA1 mutation carriers. This has important implications for clinicians involved in the treatment of BRCA2 ‐associated breast cancer, both in the diagnostic process, in ensuring that tumour focality is adequately assessed to facilitate treatment decision‐making, and for breast surgeons, particularly if breast conserving surgery is being considered as a treatment option for these patients.	Copied	NA	1	2	0.4996734161	0.5755838641	0.5456475584	keep	??????	
5	(((((( Preprint DOI: 	medrxiv	10.1101/19006502	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Village-scale persistence and elimination of gambiense human African trypanosomiasis	Gambiense human African trypanosomiasis (gHAT) is one of several neglected tropical diseases that is targeted for elimination by the World Health Organization. Recent years have seen a substantial decline in the number of globally reported cases, largely driven by an intensive process of screening and treatment. However, this infection is highly focal, continuing to persist at low prevalence even in small populations. Regional elimination, and ultimately global eradication, rests on understanding the dynamics and persistence of this infection at the local population scale. Here we develop a stochastic model of gHAT dynamics, which is underpinned by screening and reporting data from one of the highest gHAT incidence regions, Kwilu Province, in the Democratic Republic of Congo. We use this model to explore the persistence of gHAT in villages of different population sizes and subject to different patterns of screening. Our models demonstrate that infection is expected to persist for long periods even in relatively small isolated populations. We further use the model to assess the risk of recrudescence following local elimination and consider how failing to detect cases during active screening events informs the probability of elimination. These quantitative results provide insights for public health policy in the region, particularly highlighting the difficulties in achieving and measuring the 2030 elimination goal.	TRUE	10.1371/journal.pntd.0007838	publication_notice	Village-scale persistence and elimination of gambiense human African trypanosomiasis	########	PLOS Neglected Tropical Diseases	Public Library of Science (PLoS)	45	Gambiense human African trypanosomiasis (gHAT) is one of several neglected tropical diseases that is targeted for elimination by the World Health Organization. Recent years have seen a substantial decline in the number of globally reported cases, largely driven by an intensive process of screening and treatment. However, this infection is highly focal, continuing to persist at low prevalence even in small populations. Regional elimination, and ultimately global eradication, rests on understanding the dynamics and persistence of this infection at the local population scale. Here we develop a stochastic model of gHAT dynamics, which is underpinned by screening and reporting data from one of the highest gHAT incidence regions, Kwilu Province, in the Democratic Republic of Congo. We use this model to explore the persistence of gHAT in villages of different population sizes and subject to different patterns of screening. Our models demonstrate that infection is expected to persist for long periods even in relatively small isolated populations. We further use the model to assess the risk of recrudescence following local elimination and consider how failing to detect cases during active screening events informs the probability of elimination. These quantitative results provide insights for public health policy in the region, particularly highlighting the difficulties in achieving and measuring the 2030 elimination goal.	Copied	NA	0	0	0	0	0	keep	??????	
6	(((((( Preprint DOI: 	medrxiv	10.1101/19006577	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Genetic liability to schizophrenia is associated with exposure to traumatic events in childhood	Background: There is a wealth of literature on the observed association between childhood trauma and psychotic illness. However, the relationship between childhood trauma and psychosis is complex and could be explained, in part, by gene-environment correlation. Methods: The association between schizophrenia polygenic scores (PGS) and experiencing childhood trauma was investigated using data from the Avon Longitudinal Study of Parents and Children (ALSPAC) and the Norwegian Mother, Father and Child Cohort Study (MoBa). Schizophrenia PGS were derived in each cohort for children, mothers, and fathers where genetic data were available. Measures of trauma exposure were derived based on data collected throughout childhood and adolescence (0-17 years; ALSPAC) and at age 8 years (MoBa). Results: Within ALSPAC, we found a positive association between schizophrenia PGS and exposure to trauma across childhood and adolescence; effect sizes were consistent for both child or maternal PGS. We found evidence of an association between the schizophrenia PGS and the majority of trauma subtypes investigated, with the exception of bullying. These results were comparable in MoBa. Within ALSPAC, genetic liability to a range of additional psychiatric traits was also associated with a greater trauma exposure. Conclusions: Results from two international birth cohorts indicate that genetic liability for a range of psychiatric traits is associated with experiencing childhood trauma. GWAS of psychiatric phenotypes may also reflect risk factors for these phenotypes. Our findings also suggest that youth at higher genetic risk might require greater resources/support to ensure they grow-up in a healthy environment.	TRUE	10.1017/s0033291720000537	publication_notice	Genetic liability to schizophrenia is associated with exposure to traumatic events in childhood	########	Psychological Medicine	Cambridge University Press (CUP)	201	Background    There is a wealth of literature on the observed association between childhood trauma and psychotic illness. However, the relationship between childhood trauma and psychosis is complex and could be explained, in part, by gene–environment correlation.    Methods    The association between schizophrenia polygenic scores (PGS) and experiencing childhood trauma was investigated using data from the Avon Longitudinal Study of Parents and Children (ALSPAC) and the Norwegian Mother, Father and Child Cohort Study (MoBa). Schizophrenia PGS were derived in each cohort for children, mothers, and fathers where genetic data were available. Measures of trauma exposure were derived based on data collected throughout childhood and adolescence (0–17 years; ALSPAC) and at age 8 years (MoBa).    Results    Within ALSPAC, we found a positive association between schizophrenia PGS and exposure to trauma across childhood and adolescence; effect sizes were consistent for both child or maternal PGS. We found evidence of an association between the schizophrenia PGS and the majority of trauma subtypes investigated, with the exception of bullying. These results were comparable with those of MoBa. Within ALSPAC, genetic liability to a range of additional psychiatric traits was also associated with a greater trauma exposure.    Conclusions    Results from two international birth cohorts indicate that genetic liability for a range of psychiatric traits is associated with experiencing childhood trauma. Genome-wide association study of psychiatric phenotypes may also reflect risk factors for these phenotypes. Our findings also suggest that youth at higher genetic risk might require greater resources/support to ensure they grow-up in a healthy environment.	Copied	NA	0	0	0.02158273381	0.0404494382	0.0404494382	keep	??????	
7	(((((( Preprint DOI: 	medrxiv	10.1101/19006635	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Spinal muscular atrophy diagnosis and carrier screening from whole-genome sequencing data	Purpose Spinal muscular atrophy (SMA), caused by loss of the SMN1 gene, is a leading cause of early childhood death. Due to the near identical sequences of SMN1 and SMN2, analysis of this region is challenging. Population-wide SMA screening to quantify the SMN1 copy number (CN) is recommended by the American College of Medical Genetics. Methods We developed a method that accurately identifies the CN of SMN1 and SMN2 using genome sequencing (GS) data by analyzing read depth and eight informative reference genome differences between SMN1/2. Results We characterized SMN1/2 in 12,747 genomes, identified 1568 samples with SMN1 gains or losses and 6615 samples with SMN2 gains or losses and calculated a pan-ethnic carrier frequency of 2%, consistent with previous studies. Additionally, 99.8% of our SMN1 and 99.7% of SMN2 CN calls agreed with orthogonal methods, with a recall of 100% for SMA and 97.8% for carriers, and a precision of 100% for both SMA and carriers. Conclusion This SMN copy number caller can be used to identify both carrier and affected status of SMA, enabling SMA testing to be offered as a comprehensive test in neonatal care and an accurate carrier screening tool in GS sequencing projects.	TRUE	10.1038/s41436-020-0754-0	publication_notice	Spinal muscular atrophy diagnosis and carrier screening from genome sequencing data	########	Genetics in Medicine	Springer Science and Business Media LLC	139	Purpose Spinal muscular atrophy (SMA), caused by loss of the SMN1 gene, is a leading cause of early childhood death. Due to the near identical sequences of SMN1 and SMN2, analysis of this region is challenging. Population-wide SMA screening to quantify the SMN1 copy number (CN) is recommended by the American College of Medical Genetics and Genomics.  Methods We developed a method that accurately identifies the CN of SMN1 and SMN2 using genome sequencing (GS) data by analyzing read depth and eight informative reference genome differences between SMN1/2.  Results We characterized SMN1/2 in 12,747 genomes, identified 1568 samples with SMN1 gains or losses and 6615 samples with SMN2 gains or losses, and calculated a pan-ethnic carrier frequency of 2%, consistent with previous studies. Additionally, 99.8% of our SMN1 and 99.7% of SMN2 CN calls agreed with orthogonal methods, with a recall of 100% for SMA and 97.8% for carriers, and a precision of 100% for both SMA and carriers.  Conclusion This SMN copy-number caller can be used to identify both carrier and affected status of SMA, enabling SMA testing to be offered as a comprehensive test in neonatal care and an accurate carrier screening tool in GS sequencing projects.	Copied	NA	0	0	0.3541045787	0.5236957387	0.5236957387	keep	??????	
8	(((((( Preprint DOI: 	medrxiv	10.1101/19006650	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Predicting individual clinical trajectories of depression with generative embedding	Patients with major depressive disorder (MDD) show heterogeneous treatment response and highly variable clinical trajectories: while some patients experience swift and enduring recovery, others show relapsing-remitting or chronic disease course. Predicting individual clinical trajectories at an early disease stage is a key challenge for psychiatry and might facilitate individually tailored interventions. So far, however, reliable predictors at the single-patient level are absent. Here, we evaluated the utility of a machine learning strategy - generative embedding - which combines an interpretable generative model with a discriminative classifier. Specifically, we used functional magnetic resonance imaging (fMRI) data of emotional face perception in 85 MDD patients from the multi-site longitudinal NEtherlands Study of Depression and Anxiety (NESDA) who had been followed up over two years and classified into three subgroups with distinct clinical trajectories. Combining a generative model of effective (directed) connectivity with support vector machines (SVMs), it was possible to predict whether a given patient will experience chronic depression vs. fast remission with a balanced accuracy of 79%. Gradual improvement vs. fast remission could still be predicted above-chance, but less convincingly, with a balanced accuracy of 61%. Importantly, generative embedding outperformed conventional (descriptive) measures such as functional connectivity or local BOLD activity, which did not predict clinical trajectories with above-chance accuracy. Furthermore, the predictive performance of generative embedding could be assigned to a specific network property: the dynamic modulation of connections by the emotional content of the trial-by-trial stimuli. Our findings suggest that a mechanistically informed generative model of a neuronal circuit underlying emotional face perception may have predictive utility for distinguishing disease courses in MDD patients.	TRUE	10.1016/j.nicl.2020.102213	publication_notice	Predicting individual clinical trajectories of depression with generative embedding	########	NeuroImage: Clinical	Elsevier BV	152	Patients with major depressive disorder (MDD) show heterogeneous treatment response and highly variable clinical trajectories: while some patients experience swift recovery, others show relapsing-remitting or chronic courses. Predicting individual clinical trajectories at an early stage is a key challenge for psychiatry and might facilitate individually tailored interventions. So far, however, reliable predictors at the single-patient level are absent. Here, we evaluated the utility of a machine learning strategy – generative embedding (GE) – which combines interpretable generative models with discriminative classifiers. Specifically, we used functional magnetic resonance imaging (fMRI) data of emotional face perception in 85 MDD patients from the NEtherlands Study of Depression and Anxiety (NESDA) who had been followed up over two years and classified into three subgroups with distinct clinical trajectories. Combining a generative model of effective (directed) connectivity with support vector machines (SVMs), we could predict whether a given patient would experience chronic depression vs. fast remission with a balanced accuracy of 79%. Gradual improvement vs. fast remission could still be predicted above-chance, but less convincingly, with a balanced accuracy of 61%. Generative embedding outperformed classification based on conventional (descriptive) features, such as functional connectivity or local activation estimates, which were obtained from the same data and did not allow for above-chance classification accuracy. Furthermore, predictive performance of GE could be assigned to a specific network property: the trial-by-trial modulation of connections by emotional content. Given the limited sample size of our study, the present results are preliminary but may serve as proof-of-concept, illustrating the potential of GE for obtaining clinical predictions that are interpretable in terms of network mechanisms. Our findings suggest that abnormal dynamic changes of connections involved in emotional face processing might be associated with higher risk of developing a less favorable clinical course.	Copied	NA	1	0	0.4291281052	0.429759077	0.3729216152	keep	??????	
9	(((((( Preprint DOI: 	medrxiv	10.1101/19006833	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Reproductive Factors and Risk of Breast Cancer by Tumor Subtypes among Ghanaian Women: A Population-based Case-control Study	Background Higher proportions of early onset and estrogen receptor (ER) negative cancers are observed in women of African ancestry than in women of European ancestry. Differences in risk factor distributions and associations by age at diagnosis and ER status may explain this disparity. Methods We analyzed data from 1,126 women (aged 18 to 74 years) with invasive breast cancer and 2,106 population controls recruited from three hospitals in Ghana from 2013 to 2015. Odds ratios (OR) and 95% confidence intervals (CI) were estimated for menstrual and reproductive factors using polytomous logistic regression models adjusted for potential confounders. Results Among controls, medians for age at menarche, parity, age at first birth, and breastfeeding/pregnancy were 15 years, 4 births, 20 years, and 18 months, respectively. For women greater or equal to 50 years, parity and extended breastfeeding were associated with decreased risks: >5 births vs. nulliparous, OR 0.40 (95% CI 0.20 to 0.83) and 0.71 (95% CI 0.51 to 0.98) for greater or equal to 19 vs. <13 breastfeeding months/pregnancy, which did not differ by ER. In contrast, for earlier onset cases (<50 years) parity was associated with increased risk for ER-negative tumors (Pheterogeneity by ER = 0.02), which was offset by extended breastfeeding. Similar associations were observed by intrinsic-like subtypes. Less consistent relationships were observed with ages at menarche and first birth. Conclusion Reproductive risk factor distributions are different from European populations but exhibited etiologic heterogeneity by age at diagnosis and ER status similar to other populations.	TRUE	10.1002/ijc.32929	publication_notice	Reproductive factors and risk of breast cancer by tumor subtypes among Ghanaian women: A population-based case–control study	########	International Journal of Cancer	Wiley	83	Higher proportions of early-onset and estrogen receptor (ER) negative cancers are observed in women of African ancestry than in women of European ancestry. Differences in risk factor distributions and associations by age at diagnosis and ER status may explain this disparity. We analyzed data from 1,126 cases (aged 18–74<U+2009>years) with invasive breast cancer and 2,106 controls recruited from a population-based case–control study in Ghana. Odds ratios (OR) and 95% confidence intervals (CI) were estimated for menstrual and reproductive factors using polytomous logistic regression models adjusted for potential confounders. Among controls, medians for age at menarche, parity, age at first birth, and breastfeeding/pregnancy were 15<U+2009>years, 4 births, 20<U+2009>years and 18<U+2009>months, respectively. For women =50<U+2009>years, parity and extended breastfeeding were associated with decreased risks: >5 births vs . nulliparous, OR 0.40 (95% CI 0.20–0.83) and 0.71 (95% CI 0.51–0.98) for =19 vs . <13 breastfeeding months/pregnancy, which did not differ by ER. In contrast, for earlier onset cases (<50<U+2009>years) parity was associated with increased risk for ER-negative tumors (p -heterogeneity by ER = 0.02), which was offset by extended breastfeeding. Similar associations were observed by intrinsic-like subtypes. Less consistent relationships were observed with ages at menarche and first birth. Reproductive risk factor distributions are different from European populations but exhibited etiologic heterogeneity by age at diagnosis and ER status similar to other populations. Differences in reproductive patterns and subtype heterogeneity are consistent with racial disparities in subtype distributions.	Copied	NA	0	1	0.1288888889	0.1920634921	0.1846560847	keep	??????	
10	(((((( Preprint DOI: 	medrxiv	10.1101/19006957	(((((( We have manually inserted this sentence to assist with proper alignment of the text. These words will be deleted after the abstracts are properly combined.((((((	########	FALSE	Using Hierarchical Clustering to Explore Patterns of Deprivation Among English Local Authorities	Background The English Indices of Multiple Deprivation (IMD) is widely used as a measure of deprivation of geographic areas in analyses of health inequalities between places. However, similarly ranked areas can differ substantially in the underlying domains and indicators that are used to calculate the IMD score. These subdomains and indicators contain a richer set of data that might be useful for classifying local authorities. Clustering methods offer a set of techniques to identify groups of areas with similar patterns of deprivation. This could offer insights into areas that face similar challenges. Methods Hierarchical agglomerative (i.e. bottom-up) clustering methods were applied to domain scores for 152 upper-tier local authorities. Recent advances in statistical testing allow clusters to be identified that are unlikely to have arisen from random partitioning of a homogeneous group. The resulting clusters are described in terms of their subdomain scores and basic geographic and demographic characteristics. Results Five statistically significant clusters of local authorities were identified. These clusters represented local authorities that were: (i) Most deprived, predominantly urban; (ii) Least deprived, predominantly rural; (iii) Less deprived, rural; (iv) Deprived, high crime, high barriers to housing; and (v) Deprived, low education, poor employment, poor health. Conclusion Hierarchical clustering methods identify five distinct clusters that do not correspond closely to quintiles of deprivation. These methods can be used to draw on the richer set of information contained in the IMD subdomains and may help to identify places that face similar challenges, and places that appear similar in terms of IMD scores, but that face different challenges.	TRUE	10.1093/pubmed/fdz182	publication_notice	Using hierarchical clustering to explore patterns of deprivation among English local authorities	########	Journal of Public Health	Oxford University Press (OUP)	78	Background    The English Indices of Multiple Deprivation (IMD) is widely used as a measure of deprivation. However, similarly ranked areas can differ substantially in the underlying domains of deprivation. These domains contain a richer set of data that might be useful for classifying local authorities. Clustering methods offer a set of techniques to identify groups of areas with similar patterns of deprivation.    Methods    Hierarchical agglomerative (i.e. bottom-up) clustering methods were applied to domain scores for 152 upper tier local authorities. Advances in statistical testing allow clusters to be identified that are unlikely to have arisen from random partitioning of a homogeneous group. The resulting clusters are described in terms of their subdomain scores and basic geographic and demographic characteristics.    Results    Five statistically significant clusters of local authorities were identified. These clusters only partially reflect different levels of overall deprivation. In particular, two clusters share similar overall IMD scores but have contrasting patterns of deprivation.    Conclusion    Hierarchical clustering methods identify five distinct clusters that do not correspond closely to quintiles of deprivation. This approach may help to distinguish between places that face similar underlying challenges, and places that appear similar in terms of overall deprivation scores, but that face different challenges.	Copied	NA	1	0	0.913446677	0.462552234	0.2995821279	keep	??????	
