comment_id	abstract_id	annotator	score	comment
[1]	1	Dey,  Gautam	conclusions_nounchange_1  	
[2]	1	Jessica  Polka	context_nounchange_1	
[3]	1	Mate  Palfy	Context_nounchange_1+  	
[4]	1	jonathon coates	Context_effect-_1	
[5]	1	Jessica  Polka	Conclusion_stat-_1	
[6]	1	Mate  Palfy	Conclusions_stat-_1	
[7]	1	jonathon coates	Conclusion_effect-_1	
[8]	2	Dey,  Gautam		no  significant  changes
[9]	2	Jessica  Polka	Context_added_1-	makes  current  finding  seem  less  ground-breaking
[10]	2	jonathon coates	Context_added_1+  	
[11]	2	Mate  Palfy	Context_added  	
[12]	2	jonathon coates	Results_removed_1-	less  specific
[13]	2	Mate  Palfy	Results_added_1+  	
[14]	2	jonathon coates	Results_stat-_1	
[15]	2	Jessica  Polka	Results_stat-_1-	significance  removed,  g  factor  replaced  with  “tests”
[16]	2	Mate  Palfy	Results_removed_1	
[17]	2	Jessica  Polka	Results_nounchange_1-	Changed  from  individuals  with  impairment  to  individuals  with  impairment  who  use  medication
[18]	2	Jessica  Polka		greatest  ->  strongest,  not  meaningful  change
[19]	2	jonathon coates	Resuts_stat+_1+  	
[20]	2	Jessica  Polka	Results_stat+_1+  	positive  false  discovery  rate  reduced
[21]	2	Mate  Palfy	Results_stat-_1	
[22]	2	Mate  Palfy	Results_removed_1	
[23]	2	Mate  Palfy	Conclusions_stat+_1+  	
[24]	2	jonathon coates	Conclusion_added_1  	reconciled
[25]	2	Jessica  Polka	Conclusion_stat+_1+  	
[26]	2	Jessica  Polka	Conclusions_stat-1	
[27]	2	jonathon coates	Conclusion_added_1   	
[28]	2	Mate  Palfy	Conclusions_effect-_1	
[29]	2	Mate  Palfy	Conclusions_effect+_1+  	
[30]	2	Jessica  Polka	Conclusions_effect-_1	
[31]	2	Jessica  Polka	Conclusion_effect+_1+  	
[32]	3	Mate  Palfy	Context_added    	
[33]	3	Jessica  Polka	Context_added_1  	
[34]	3	Jessica  Polka	Context_nounchange_1  	
[35]	3	Mate  Palfy	Context_removed  	
[36]	3	jonathon coates	Context_removed_1  	
[37]	3	Jessica  Polka	Conclusion_stat-_1	
[38]	3	Jessica  Polka	Context_removed_1  	
[39]	3	jonathon coates	Context_added_1+  	
[40]	3	Dey,  Gautam	results_statinfo_1+  	
[41]	3	Jessica  Polka	Context_added_1  	
[42]	3	Dey,  Gautam	results_removed_2  	
[43]	3	Jessica  Polka	Results_removed_1-	replication  removed?
[44]	3	jonathon coates	Results_removed_1  	reconciled
[45]	3	Mate  Palfy	Results_removed_1  	
[46]	4	Dey,  Gautam	context_added_1+  	
[47]	4	Mate  Palfy	Context_added  	
[48]	4	Mate  Palfy	Context_removed  	
[49]	4	Mate  Palfy	Context_added  	methods
[50]	4	Mate  Palfy	Context_added  	
[51]	4	Jessica  Polka	Results_removed_1  	reconciled
[52]	4	jonathon coates	Results_removed_1	
[53]	4	Mate  Palfy	Results_removed_1	
[54]	4	Mate  Palfy	Conclusions_added_1  	didn’t  score  as  2  because  of  ‘likely’
[55]	4	Jessica  Polka		text  added  but  seems  more  like  a  firmer  statement  of  the  statement  in  following  sentence
[56]	4	Dey,  Gautam	context_added_1+    	
[57]	4	Mate  Palfy		rearrangement
[58]	4	jonathon coates	Results_removed_1	
[59]	4	Dey,  Gautam	results_added_1+  	
[60]	4	jonathon coates	Results_added_1  	reconciled
[61]	4	Mate  Palfy	Results_added_1  	
[62]	4	jonathon coates	Results_stat+_1  	reconciled
[63]	4	Jessica  Polka	Results_stat+_1+     	
[64]	4	Dey,  Gautam	conclusion_added_1+  	
