doi,created,title,journal,publisher,times_cited,article_is_oa,journal_is_oa,best_oa_location,best_oa_license
10.1080/20964129.2020.1741325,2020-03-10,Regulating wildlife conservation and food safety to prevent human exposure to novel virus,Ecosystem Health and Sustainability,Taylor & Francis,0,TRUE,TRUE,publisher,NA
10.1186/s12939-020-01162-y,2020-03-21,Responding to the COVID-19 pandemic in complex humanitarian crises,International Journal for Equity in Health,Springer Nature,2,TRUE,TRUE,publisher,cc-by
10.1038/s41421-020-0147-1,2020-02-24,Comparative genetic analysis of the novel coronavirus (2019-nCoV/SARS-CoV-2) receptor ACE2 in different populations,Cell Discovery,Springer Nature,30,TRUE,TRUE,publisher,cc-by
10.1186/s41182-020-00201-2,2020-03-09,Coronavirus disease-2019: is fever an adequate screening for the returning travelers?,Tropical Medicine and Health,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02848-z,2020-03-31,Covid-19 in China: ten critical issues for intensive care medicine,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41368-020-0075-9,2020-03-03,Transmission routes of 2019-nCoV and controls in dental practice,International Journal of Oral Science,Springer Nature,36,TRUE,TRUE,publisher,cc-by
10.1186/s12942-020-00202-8,2020-03-11,Geographical tracking and mapping of coronavirus disease COVID-19/severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) epidemic and associated events around the world: how 21st century GIS technologies are supporting the global fight against outbreaks and epidemics,International Journal of Health Geographics,Springer Nature,4,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02862-1,2020-04-07,COVID-19 and the RAAS—a potential role for angiotensin II?,Critical Care,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s12931-020-01363-7,2020-04-22,"The unsynchronized changes of CT image and nucleic acid detection in COVID-19: reports the two cases from Gansu, China",Respiratory Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41394-020-0274-9,2020-04-17,COVID-19 tsunami: the first case of a spinal cord injury patient in Italy,Spinal Cord Series and Cases,Springer Nature,0,TRUE,FALSE,publisher,NA
10.1186/s40902-020-00254-7,2020-03-30,Dysosmia and dysgeusia due to the 2019 Novel Coronavirus; a hypothesis that needs further investigation,Maxillofacial Plastic and Reconstructive Surgery,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1186/s12967-020-02344-6,2020-04-22,Emerging SARS-CoV-2 mutation hot spots include a novel RNA-dependent-RNA polymerase variant,Journal of Translational Medicine,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41598-020-63799-7,2020-04-23,Bat coronavirus phylogeography in the Western Indian Ocean,Scientific Reports,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12967-020-02339-3,2020-04-14,Why tocilizumab could be an effective treatment for severe COVID-19?,Journal of Translational Medicine,Springer Nature,1,TRUE,TRUE,publisher,cc-by
10.1038/s41392-020-0148-4,2020-03-27,Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study,Signal Transduction and Targeted Therapy,Springer Nature,8,TRUE,TRUE,publisher,cc-by
10.1186/s13613-020-00650-2,2020-03-18,Lower mortality of COVID-19 by early recognition and intervention: experience from Jiangsu Province,Annals of Intensive Care,Springer Nature,7,TRUE,TRUE,publisher,cc-by
10.1186/s40779-020-00247-7,2020-04-20,Chinese expert consensus on diagnosis and treatment of coagulation dysfunction in COVID-19,Military Medical Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12969-020-00422-z,2020-04-22,COVID-19 and what pediatric rheumatologists should know: a review from a highly affected country,Pediatric Rheumatology,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02864-z,2020-04-14,How to transform a general hospital into an “infectious disease hospital” during the epidemic of COVID-19,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13037-020-00243-9,2020-04-19,Isolation protocol for a COVID-2019 patient requiring emergent surgical intervention: case presentation,Patient Safety in Surgery,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41467-020-15562-9,2020-03-27,Characterization of spike glycoprotein of SARS-CoV-2 on virus entry and its immune cross-reactivity with SARS-CoV,Nature Communications,Springer Nature,17,TRUE,TRUE,publisher,cc-by
10.1186/s13017-020-00305-4,2020-04-20,Salvage use of tissue plasminogen activator (tPA) in the setting of acute respiratory distress syndrome (ARDS) due to COVID-19 in the USA: a Markov decision analysis,World Journal of Emergency Surgery,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13613-020-00664-w,2020-04-19,Critically ill SARS-CoV-2-infected patients are not stratified as sepsis by the qSOFA,Annals of Intensive Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02877-8,2020-04-16,"A case of a readmitted patient who recovered from COVID-19 in Chengdu, China",Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s40510-020-00310-y,2020-04-07,Management of orthodontic emergencies during 2019-NCOV,Progress in Orthodontics,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s12917-020-02330-6,2020-04-15,Detection of bovine viral diarrhea virus genotype 1 in aerosol by a real time RT-PCR assay,BMC Veterinary Research,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13054-020-02856-z,2020-04-10,Using echocardiography to guide the treatment of novel coronavirus pneumonia,Critical Care,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41597-020-0448-0,2020-03-24,"Epidemiological data from the COVID-19 outbreak, real-time case information",Scientific Data,Springer Nature,8,TRUE,TRUE,publisher,cc-by
10.1186/s13037-020-00235-9,2020-03-31,How to risk-stratify elective surgery during the COVID-19 pandemic?,Patient Safety in Surgery,NA,2,TRUE,TRUE,publisher,cc-by
10.1186/s40249-020-00650-1,2020-04-07,Fighting against the common enemy of COVID-19: a practice of building a community with a shared future for mankind,Infectious Diseases of Poverty,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1038/s41368-020-0074-x,2020-02-24,High expression of ACE2 receptor of 2019-nCoV on the epithelial cells of oral mucosa,International Journal of Oral Science,Springer Nature,55,TRUE,TRUE,publisher,cc-by
10.1186/s40779-020-00240-0,2020-03-13,"The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak – an update on the status",Military Medical Research,Springer Nature,56,TRUE,TRUE,publisher,cc-by
10.1186/s12916-020-01551-8,2020-03-13,What further should be done to control COVID-19 outbreaks in addition to cases isolation and contact tracing measures?,BMC Medicine,Springer Nature,0,TRUE,TRUE,publisher,cc-by
10.1186/s13017-020-00304-5,2020-04-09,COVID-19 the showdown for mass casualty preparedness and management: the Cassandra Syndrome,World Journal of Emergency Surgery,Springer Nature,0,TRUE,TRUE,publisher,cc-by
