source,posted_date,covid_preprint,pdf_downloads
SSRN,03/01/2020,TRUE,53
SSRN,12/01/2020,FALSE,121
SSRN,12/01/2020,FALSE,111
SSRN,22/01/2020,TRUE,1231
SSRN,23/01/2020,TRUE,6497
SSRN,26/01/2020,TRUE,12922
SSRN,26/01/2020,TRUE,328
SSRN,27/01/2020,TRUE,1819
SSRN,29/01/2020,FALSE,576
SSRN,29/01/2020,TRUE,1851
SSRN,31/01/2020,TRUE,333
SSRN,31/01/2020,TRUE,507
SSRN,31/01/2020,TRUE,391
SSRN,03/02/2020,TRUE,693
SSRN,04/02/2020,TRUE,670
SSRN,05/02/2020,TRUE,771
SSRN,05/02/2020,TRUE,709
SSRN,05/02/2020,FALSE,855
SSRN,06/02/2020,FALSE,581
SSRN,06/02/2020,TRUE,739
SSRN,29/01/2020,TRUE,991
SSRN,08/02/2020,FALSE,310
SSRN,10/02/2020,FALSE,56
SSRN,12/02/2020,TRUE,577
SSRN,12/02/2020,TRUE,0
SSRN,12/02/2020,TRUE,255
SSRN,12/02/2020,TRUE,484
SSRN,12/02/2020,TRUE,905
SSRN,12/02/2020,FALSE,178
SSRN,12/02/2020,TRUE,128
SSRN,12/02/2020,TRUE,513
SSRN,12/02/2020,TRUE,337
SSRN,13/02/2020,TRUE,0
SSRN,14/02/2020,TRUE,936
SSRN,14/02/2020,TRUE,339
SSRN,17/02/2020,TRUE,467
SSRN,17/02/2020,TRUE,293
SSRN,17/02/2020,TRUE,203
SSRN,17/02/2020,TRUE,1670
SSRN,17/02/2020,TRUE,586
SSRN,17/02/2020,FALSE,107
SSRN,17/02/2020,TRUE,432
SSRN,17/02/2020,TRUE,1616
SSRN,17/02/2020,TRUE,239
SSRN,17/02/2020,TRUE,259
SSRN,17/02/2020,TRUE,271
SSRN,17/02/2020,TRUE,1008
SSRN,17/02/2020,TRUE,134
SSRN,17/02/2020,TRUE,628
SSRN,17/02/2020,TRUE,250
SSRN,17/02/2020,TRUE,630
SSRN,17/02/2020,TRUE,98
SSRN,18/02/2020,TRUE,0
SSRN,19/02/2020,TRUE,1902
SSRN,19/02/2020,TRUE,819
SSRN,19/02/2020,TRUE,360
SSRN,19/02/2020,TRUE,774
SSRN,19/02/2020,TRUE,2779
SSRN,19/02/2020,TRUE,205
SSRN,19/02/2020,TRUE,388
SSRN,19/02/2020,TRUE,168
SSRN,19/02/2020,TRUE,1891
SSRN,19/02/2020,TRUE,454
SSRN,19/02/2020,FALSE,64
SSRN,19/02/2020,TRUE,83
SSRN,21/02/2020,TRUE,397
SSRN,21/02/2020,TRUE,516
SSRN,21/02/2020,TRUE,405
SSRN,21/02/2020,TRUE,173
SSRN,21/02/2020,TRUE,164
SSRN,21/02/2020,TRUE,102
SSRN,21/02/2020,TRUE,156
SSRN,21/02/2020,TRUE,130
SSRN,21/02/2020,TRUE,428
SSRN,21/02/2020,TRUE,1302
SSRN,21/02/2020,TRUE,121
SSRN,23/02/2020,FALSE,82
SSRN,23/02/2020,TRUE,166
SSRN,23/02/2020,TRUE,471
SSRN,24/02/2020,TRUE,249
SSRN,24/02/2020,TRUE,194
SSRN,24/02/2020,TRUE,123
SSRN,24/02/2020,TRUE,82
SSRN,24/02/2020,TRUE,430
SSRN,24/02/2020,TRUE,165
SSRN,24/02/2020,TRUE,524
SSRN,24/02/2020,TRUE,120
SSRN,24/02/2020,TRUE,444
