type,set,doc,nrefs,nbiorxiv,nmedrxiv,narxiv,nssrn,nosf,npreprintsorg,nressquare,npreprints
COVID-19,ECDC,Communicable-disease-threats-report-19-dec-2020.pdf,1,0,0,0,0,0,0,0,0
COVID-19,ECDC,communicable-disease-threats-report-30-december-2020.pdf,1,0,0,0,0,0,0,0,0
COVID-19,ECDC,community-engagement-guidance.pdf,23,0,0,0,0,0,0,0,0
COVID-19,ECDC,covid-19-contact-tracing-public-health-management-third-update.pdf,71,0,8,0,0,0,0,0,8
COVID-19,ECDC,covid-19-guidelines-non-pharmaceutical-interventions-september-2020.pdf,249,0,31,1,3,0,0,0,35
COVID-19,ECDC,COVID-19-in-children-and-the-role-of-school-settings-in-transmission-first-update_0.pdf,193,0,8,0,0,0,0,0,8
COVID-19,ECDC,covid-19-infection-prevention-primary-care-dental-clinics-pharmacy-october-2020.pdf,42,0,1,1,0,0,0,0,2
COVID-19,ECDC,covid-19-rapid-risk-assessment-20200810.pdf,74,0,7,0,1,0,0,1,9
COVID-19,ECDC,covid-19-risk-assessment-increased-transmission-12th-update-september-2020.pdf,113,3,9,0,1,0,0,0,13
COVID-19,ECDC,COVID-19-risk-related-to-spread-of-new-SARS-CoV-2-variants-EU-EEA.pdf,89,1,3,0,0,0,0,0,4
COVID-19,ECDC,covid-19-supply-substances-human-origin-second-update.pdf,160,3,6,0,0,0,0,0,9
COVID-19,ECDC,COVID-19-vaccination-and-prioritisation-strategies.pdf,31,0,0,0,0,0,0,0,0
COVID-19,ECDC,covid-forecasts-modelling-november-2020.pdf,48,0,5,0,0,0,0,0,5
COVID-19,ECDC,Guidance-for-discharge-and-ending-of-isolation-of-people-with-COVID-19.pdf,47,0,5,1,0,0,0,0,6
COVID-19,ECDC,Guidelines_for_COVID-19_testing_and_quarantine_of_air_travellers-12-2020.pdf,48,0,9,0,0,0,0,0,9
COVID-19,ECDC,Health-emergency-preparedness-imported-cases-of-high-consequence-infectious-diseases.pdf,55,0,0,0,0,0,0,0,0
COVID-19,ECDC,Heating-ventilation-air-conditioning-systems-in-the-context-of-COVID-19-first-update.pdf,64,0,3,0,0,0,0,0,3
COVID-19,ECDC,Increase-fatal-cases-of-COVID-19-among-long-term-care-facility-residents.pdf,157,0,1,0,0,0,0,0,1
COVID-19,ECDC,Infection-prevention-and-control-in-healthcare-settings-COVID-19_5th_update.pdf,103,0,3,0,0,0,0,1,4
COVID-19,ECDC,infectious-diseases-transmitted-on-aircrafts-ragida-risk-assessment-guidelines.pdf,17,0,0,0,0,0,0,0,0
COVID-19,ECDC,Key-aspects-regarding-introduction-and-prioritisation-of-COVID-19-vaccination.pdf,24,0,0,0,0,0,0,0,0
COVID-19,ECDC,Options-use-of-rapid-antigen-tests-for-COVID-19_0.pdf,58,1,7,0,0,0,0,0,8
COVID-19,ECDC,Overview-of-EU_EEA-UK-vaccination-deployment-plans.pdf,26,0,0,0,0,0,0,0,0
COVID-19,ECDC,Re-infection-and-viral-shedding-threat-assessment-brief.pdf,44,3,3,0,2,0,0,0,8
COVID-19,ECDC,Risk-assessment-COVID-19-transmission-related-the-end-of-year-festive-season.pdf,63,0,3,1,0,0,0,0,4
COVID-19,ECDC,RRA-COVID-19-EU-EEA-UK-thirteenth-update-23-Oct-2020.pdf,38,0,2,0,0,0,0,0,2
COVID-19,ECDC,RRA-Resurgence-of-reported-cases-of-COVID-19-in-the-EU-EEA.pdf,17,0,0,0,0,0,0,0,0
COVID-19,ECDC,RRA-SARS-CoV-2-in-mink-12-nov-2020.pdf,90,1,2,0,0,0,0,0,3
COVID-19,ECDC,SARS-CoV-2-variant-multiple-spike-protein-mutations-United-Kingdom.pdf,33,2,0,0,0,0,0,0,2
COVID-19,ECDC,TestingStrategy_Objective-Sept-2020.pdf,103,0,5,0,0,0,0,0,5
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-ACE-I-2020.1-eng.pdf,16,0,6,0,0,0,0,0,6
COVID-19,WHO Scientific Briefs,WHO-2019-nCoV-Sci_Brief-BCGvaccination-2020.1-eng.pdf,8,0,0,0,0,0,0,0,0
