doi,abstract
10.1101/013375,"The brain exhibits temporally complex patterns of activity with features similar to those of chaotic systems. Theoretical studies over the last twenty years have described various computational advantages for such regimes in neuronal systems. Nevertheless, it still remains unclear whether chaos requires specific cellular properties or network architectures, or whether it is a generic property of neuronal circuits. We investigate the dynamics of networks of excitatory-inhibitory (EI) spiking neurons with random sparse connectivity operating in the regime of balance of excitation and inhibition. Combining Dynamical Mean-Field Theory with numerical simulations, we show that chaotic, asynchronous firing rate fluctuations emerge generically for sufficiently strong synapses. Two different mechanisms can lead to these chaotic fluctuations. One mechanism relies on slow I-I inhibition which gives rise to slow subthreshold voltage and rate fluctuations. The decorrelation time of these fluctuations is proportional to the time constant of the inhibition. The second mechanism relies on the recurrent E-I-E feedback loop. It requires slow excitation but the inhibition can be fast. In the corresponding dynamical regime all neurons exhibit rate fluctuations on the time scale of the excitation. Another feature of this regime is that the population-averaged firing rate is substantially smaller in the excitatory population than in the inhibitory population. This is not necessarily the case in the I-I mechanism. Finally, we discuss the neurophysiological and computational significance of our results.\n\nAuthor SummaryCortical circuits exhibit complex temporal patterns of spiking and are exquisitely sensitive to small perturbations in their ongoing activity. These features are all suggestive of an underlying chaotic dynamics. Theoretical works have indicated that a rich dynamical reservoir can endow neuronal circuits with remarkable computational capabilities. Nevertheless, the mechanisms underlying chaos in circuits of spiking neurons remain unknown. We combine analytical calculations and numerical simulations to investigate this fundamental issue. Our key result is that chaotic firing rate fluctuations on the time scales of the synaptic dynamics emerge generically from the network collective dynamics. Our results pave the way in the study of the physiological mechanisms and computational significance of chaotic states in neuronal networks."
10.1101/012930,"The widely used Translation Libration Screw (TLS) approximation describes concerted motions of atomic groups in X-ray refinement. TLS refinement often provides a better interpretation of diffraction data and the resulting rigid body motions may subsequently be assigned biochemical significance. In TLS refinement, three matrices (T, L and S) describe harmonic vibration, libration and their correlation. Because these matrices describe specific motions, they impose a number of conditions on their elements. Ignoring these conditions while refining the matrix elements may result in matrices that cannot be interpreted in terms of physically realistic motions. We describe a mathematical framework and the computational tools to analyze refined TLS matrices through their decomposition into descriptors of underlying motions. This allows for straightforward validation and identification of implausible TLS parameters. An algorithm for the generation of structural ensembles that are consistent with given TLS parameters, implemented as a part of the Phenix project, is also described.\n\nSynopsisProcedures for the decomposition of TLS matrices into elementary vibrations and librations indicates possible errors in the definition of these matrices and corrects them when possible. The program outputs the corresponding vibration-libration parameters and generates structural ensembles."
10.1101/012955,"Identifying the intramolecular motions of proteins and nucleic acids is a major challenge in macromolecular X-ray crystallography. While Bragg diffraction describes the average positional distribution of crystalline atoms, many different models can fit this distribution equally well. Diffuse X-ray scattering can reduce this degeneracy by directly reporting on correlated atomic displacements. Although recent technological advances are increasing the potential to accurately measure diffuse scattering, computational modeling and validation tools are still needed to quantify the agreement between experimental data and different parameterizations of crystalline disorder. A new tool, phenix.diffuse, addresses this need by employing Guiniers equation to calculate diffuse scattering from Protein Data Bank (PDB)-formatted structural ensembles. As an example case, phenix.diffuse is applied to Translation-Libration-Screw (TLS) refinement, which models rigid body displacement for segments of the macromolecule. To enable calculation of diffuse scattering from TLS refined structures, phenix.tls_models builds multi-model PDB files that sample the underlying T, L and S tensors. In the glycerophosphodiesterase GpdQ, alternative TLS group partitioning and different motional correlations between groups yield markedly dissimilar diffuse scattering maps with distinct implications for molecular mechanism and allostery. These methods demonstrate how X-ray diffuse scattering can extend macromolecular structural refinement, validation, and analysis.\n\nSynopsisA method of simulating X-ray diffuse scattering from multi-model PDB files is presented. Despite similar agreement with Bragg data, different Translation-Libration-Screw refinement strategies produce unique diffuse intensity patterns."
10.1101/013383,"In this paper we discuss data and methodological challenges for building bacterial communication networks using two examples: Escherichia coli as a flagellate bacterium and of Geobacter sulfurreducens as a biofilm forming bacterium. We first highlight the link between the bacterial network communication design with respect to metabolic information processing design. The potentialities of designing routing network schemes described previously in literature and based on bacteria motility and genetic message exchanges will depend on the genes coding for the intracellular and intercellular signalling pathways. In bacteria, the \""mobilome\"" is related to horizontal gene transfer. Bacteria trade off the acquisition of new genes which could improve their survival (and often their communication bandwidth), keeping their genome enough small to assure quick DNA replication and increase fast the biomass to speed up cell division. First, by using a multi-objective optimisation procedure, we search for the optimal trade off between energy production, which is a requirement for the motility, and the biomass growth, which is related to the overall survival and fitness of the bacterium. We use flux balance analysis of genome-scale biochemical network of Escherichia coli k-13 MG1655. Then, as a second case study we analyze the electric properties and biomass trade-off of the bacterium Geobacter sulfurreducens which constructs an electric biofilm where electrons move across the nanowires. Here we discuss the potentialities of optimisation methodologies to design and select bacterial strains with desiderata properties. The optimisation methodologies establish also a relation between metabolism, network communication and computing. Moreover, we point to genetic design and synthetic biology as key areas to develop bacterial nano communication networks."
10.1101/013425,"Since the invention of DNA sequencing in the seventies, computational biologists have had to deal with the problem de novo genome assembly with limited (or insufficient) depth of sequencing. In this work, for the first time we investigate the opposite problem, that is, the challenge of dealing with excessive depth of sequencing. Specifically, we explore the effect of ultra-deep sequencing data in two domains: (i) the problem of decoding reads to BAC clones (in the context of the combinatorial pooling design proposed in [1]), and (ii) the problem of de novo assembly of BAC clones. Using real ultra-deep sequencing data, we show that when the depth of sequencing increases over a certain threshold, sequencing errors make these two problems harder and harder (instead of easier, as one would expect with error-free data), and as a consequence the quality of the solution degrades with more and more data. For the first problem, we propose an effective solution based on \""divide and conquer\"": we \""slice\"" a large dataset into smaller samples of optimal size, decode each slice independently, then merge the results. Experimental results on over 15,000 barley BACs and over 4,000 cowpea BACs demonstrate a significant improvement in the quality of the decoding and the final assembly. For the second problem, we show for the first time that modern de novo assemblers cannot take advantage of ultra-deep sequencing data."
10.1101/013367,"In recent years, there have been many calls for an extended evolutionary synthesis, based in part upon growing evidence for non-genetic mechanisms of inheritance, i.e., similarities in phenotype between parents and offspring that are not due to shared genes. While there has been an impressive marshalling of evidence for diverse forms of non-genetic inheritance (epigenetic, ecological, behavioural, symbolic), there have been relatively few studies trying to integrate the different forms of inheritance into a common conceptual structure, a development that would be important to formalizing elements of the extended evolutionary synthesis. Here, we propose a framework for an extended view of inheritance and introduce some conceptual distinctions that we believe are important to this issue. In this framework, the phenotype is conceived of as a dynamic entity, its state at any point in time resulting from intertwined effects of previous phenotypic state, and of hereditary materials (DNA and otherwise) and environment. We contrast our framework with the standard gene-based view of inheritance, and also discuss our framework in the specific context of recent attempts to accommodate non-genetic inheritance within the framework of classical quantitative genetics and the Price equation. In particular, we believe that the extended view of inheritance and effects on the phenotype developed here is particularly well-suited to individual-based simulation studies of evolutionary dynamics. The results of such simulations, in turn, could be useful for assessing how well extended models based on quantitative genetics or the Price equation perform at capturing complex evolutionary dynamics."
10.1101/013136,"Human epilepsies encompass a wide variety of clinical, behavioral and electrical manifestations. Correspondingly, studies of this disease in nonhuman animals have brought forward an equally wide array of animal models, i.e. species and acute or chronic seizure induction protocols. Epilepsy research has a long history of comparative anatomical and physiological studies on a range of mostly mammalian species. Nonetheless, a relatively limited number of rodent models emerged as the primary choices for most epilepsy-related investigations. In many cases these animal models are selected based on convenience or tradition, though technical or experimental rationale does, and should, factor into these decisions. More complex mammalian brains and, especially, genetic model organisms including zebrafish have been studied less but offer significant advantages that are being widely recognized."
10.1101/013417,"Species geographic ranges vary enormously, and even closest relatives may differ in range size by several orders of magnitude. With data from hundreds of species spanning 20 genera in 15 families, we show that plant species that autonomously reproduce via self-pollination consistently have larger geographic ranges than their close relatives that generally require two parents for reproduction. Further analyses strongly implicate autonomous self-fertilization in causing this relationship, as it is not driven by traits such as polyploidy or annual life history whose evolution is sometimes correlated with autonomous self-fertilization. Furthermore, we find that selfers occur at higher maximum latitudes and that disparity in range size between selfers and outcrossers increases with time since their separation. Together, these results show that autonomous reproduction -- a critical biological trait that eliminates mate limitation and thus potentially increases the probability of establishment -- increases range size."
10.1101/013490,"Monitoring the progress of DNA molecules through a membrane pore has been postulated as a method for sequencing DNA for several decades. Recently, a nanopore-based sequencing instrument, the Oxford Nanopore MinION, has become available that we used for sequencing the S. cerevisiae genome. To make use of these data, we developed a novel open-source hybrid error correction algorithm Nanocorr (https://github.com/jgurtowski/nanocorr) specifically for Oxford Nanopore reads, as existing packages were incapable of assembling the long read lengths (5-50kbp) at such high error rate (between [~]5 and 40% error). With this new method we were able to perform a hybrid error correction of the nanopore reads using complementary MiSeq data and produce a de novo assembly that is highly contiguous and accurate: the contig N50 length is more than ten-times greater than an Illumina-only assembly (678kb versus 59.9kbp), and has greater than 99.88% consensus identity when compared to the reference. Furthermore, the assembly with the long nanopore reads presents a much more complete representation of the features of the genome and correctly assembles gene cassettes, rRNAs, transposable elements, and other genomic features that were almost entirely absent in the Illumina-only assembly.\n\nReviewer link to datahttp://schatzlab.cshl.edu/data/nanocorr/"
10.1101/013482,"Introgression is the transfer of genes or genomic regions from one species into another via hybridization and back-crosses. We have introgressed four translocations (EB4, IBj5, UK14-1, and B362i) from Neurospora crassa into N. tetrasperma. This enabled us to construct heterokaryotic [T + N] and [Dp + Df] strains in which the mat-A and mat-a nuclei have different genotypes. Self-crosses of the heterokaryons again produced [T + N] and [Dp + Df] progeny. From conidia (vegetative spores) produced by the heterokaryotic mycelia we obtained self-fertile (heterokaryotic) and self-sterile (homokaryotic) derivative strains. [T + N] heterokaryons produced homokaryotic derivatives of both mating types, but [Dp + Df] heterokaryons produced viable homokaryons of only the mating type of the Dp nucleus. All the four [T + N] heterokaryons, and three [Dp + Df] heterokaryons, produced both self-sterile and self-fertile conidial derivatives, but the [Dp(B362i) + Df(B362i)] heterokaryons produced only self-sterile ones. Conceivably, the Df(B362i) nuclei may be deleted for a nucleus-limited gene required for efficient mitosis or nuclear division, and whose deficit is not complemented by the neighboring Dp(B362i) nuclei. Repeat-induced point mutation (RIP) was shown to occur in a Dp-heterozygous cross, therefore RIP-alteration of a translocated segment would depend on relative numbers of self-crosses undergone in [Dp + Df] versus [T + N] ancestors."
