source,doi,posted_date,covid_preprint,score,tweets,blogs,news,wikipedia
medRxiv,10.1101/2019.12.28.19015628,2020-01-02,FALSE,14.9,24,0,0,0
medRxiv,10.1101/2019.12.28.19015941,2020-01-02,FALSE,1.25,3,0,0,0
medRxiv,10.1101/2019.12.30.19016162,2020-01-02,FALSE,0.25,1,0,0,0
medRxiv,10.1101/2019.12.28.19015974,2020-01-02,FALSE,0.5,2,0,0,0
medRxiv,10.1101/2019.12.28.19016048,2020-01-02,FALSE,0.25,1,0,0,0
medRxiv,10.1101/2019.12.29.19016097,2020-01-02,FALSE,1.1,2,0,0,0
medRxiv,10.1101/2019.12.31.19016220,2020-01-02,FALSE,15.4,30,0,0,0
medRxiv,10.1101/2019.12.30.19016121,2020-01-02,FALSE,0.25,1,0,0,0
medRxiv,10.1101/2019.12.31.19016246,2020-01-02,FALSE,1,3,0,0,0
medRxiv,10.1101/2019.12.30.19016105,2020-01-02,FALSE,0.25,1,0,0,0
medRxiv,10.1101/2019.12.28.19016089,2020-01-02,FALSE,1.25,2,0,0,0
medRxiv,10.1101/2019.12.28.19016022,2020-01-02,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2019.12.31.892166,2020-01-02,FALSE,31.25,52,0,0,0
bioRxiv,10.1101/2020.01.01.892620,2020-01-02,FALSE,4.45,8,0,0,0
medRxiv,10.1101/2019.12.30.19016139,2020-01-03,FALSE,1.25,2,0,0,0
medRxiv,10.1101/2019.12.31.19016212,2020-01-03,FALSE,9.3,15,0,0,0
medRxiv,10.1101/2019.12.31.19016253,2020-01-03,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2019.12.31.892091,2020-01-01,FALSE,21.95,37,0,0,0
bioRxiv,10.1101/2019.12.31.891614,2020-01-01,FALSE,1.25,5,0,0,0
bioRxiv,10.1101/2019.12.31.891622,2020-01-01,FALSE,0,0,0,0,0
bioRxiv,10.1101/2019.12.31.892075,2020-01-01,FALSE,6.85,16,0,0,0
bioRxiv,10.1101/2019.12.31.891234,2020-01-01,FALSE,11.15,22,0,0,0
bioRxiv,10.1101/2019.12.31.892133,2020-01-02,FALSE,2,7,0,0,0
bioRxiv,10.1101/2019.12.31.892240,2020-01-01,FALSE,16.484,21,1,0,0
medRxiv,10.1101/2019.12.31.19016279,2020-01-03,FALSE,0.5,2,0,0,0
medRxiv,10.1101/2020.01.01.20016295,2020-01-03,FALSE,1.25,2,0,0,0
medRxiv,10.1101/2020.01.02.20016311,2020-01-03,FALSE,0.5,2,0,0,0
medRxiv,10.1101/2020.01.02.20016329,2020-01-03,FALSE,7.8,14,0,0,0
bioRxiv,10.1101/2019.12.31.892067,2020-01-01,FALSE,2.25,7,0,0,0
bioRxiv,10.1101/2019.12.31.891606,2020-01-01,FALSE,1.5,6,0,0,0
bioRxiv,10.1101/2020.01.01.892299,2020-01-01,FALSE,18.934,23,1,0,0
bioRxiv,10.1101/2020.01.01.888354,2020-01-01,FALSE,28.784,35,1,0,0
bioRxiv,10.1101/2019.12.31.892018,2020-01-01,FALSE,13.25,25,0,0,0
bioRxiv,10.1101/2020.01.01.892521,2020-01-01,FALSE,2.5,7,0,0,0
medRxiv,10.1101/2019.12.31.19015966,2020-01-03,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2020.01.01.890137,2020-01-02,FALSE,2,7,0,0,0
bioRxiv,10.1101/2019.12.31.891929,2020-01-02,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2019.12.31.891895,2020-01-02,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.01.892448,2020-01-02,FALSE,3,7,0,0,0
bioRxiv,10.1101/2020.01.02.892836,2020-01-02,FALSE,20.6,28,0,0,0
bioRxiv,10.1101/2019.12.31.892232,2020-01-02,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.02.893107,2020-01-02,FALSE,2.75,5,0,0,0
bioRxiv,10.1101/2020.01.02.892976,2020-01-02,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.02.893016,2020-01-02,FALSE,9.75,19,0,0,0
bioRxiv,10.1101/2020.01.02.892638,2020-01-02,FALSE,2,4,0,0,0
bioRxiv,10.1101/2020.01.01.884023,2020-01-02,FALSE,3.35,7,0,0,0
bioRxiv,10.1101/2019.12.31.891507,2020-01-02,FALSE,14.85,24,0,0,0
bioRxiv,10.1101/2020.01.02.893164,2020-01-02,FALSE,4.3,9,0,0,0
bioRxiv,10.1101/2019.12.31.891978,2020-01-02,FALSE,256.97,295,4,7,0
bioRxiv,10.1101/2019.12.31.891408,2020-01-02,FALSE,10.65,19,0,0,0
bioRxiv,10.1101/2019.12.31.891853,2020-01-02,FALSE,1.6,4,0,0,0
bioRxiv,10.1101/2020.01.02.892828,2020-01-02,FALSE,1.5,6,0,0,0
bioRxiv,10.1101/2020.01.02.892935,2020-01-02,FALSE,6.4,11,0,0,0
bioRxiv,10.1101/2019.12.31.891317,2020-01-02,FALSE,17.3,30,0,0,0
bioRxiv,10.1101/2019.12.31.892265,2020-01-02,FALSE,1.25,5,0,0,0
bioRxiv,10.1101/2019.12.31.889139,2020-01-02,FALSE,6.7,13,0,0,0
bioRxiv,10.1101/2019.12.31.892083,2020-01-02,FALSE,10.75,19,0,0,0
bioRxiv,10.1101/2019.12.31.892190,2020-01-02,FALSE,4.95,12,0,0,0
bioRxiv,10.1101/2020.01.01.878769,2020-01-02,FALSE,2,7,0,0,0
bioRxiv,10.1101/2020.01.02.891770,2020-01-02,FALSE,2.1,5,0,0,0
bioRxiv,10.1101/2020.01.02.893180,2020-01-02,FALSE,21.634,29,1,0,0
bioRxiv,10.1101/2020.01.02.893073,2020-01-02,FALSE,2.85,6,0,0,0
bioRxiv,10.1101/2020.01.01.892380,2020-01-02,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.02.892760,2020-01-02,FALSE,7.934,3,1,0,0
bioRxiv,10.1101/2020.01.02.892901,2020-01-02,FALSE,4.1,8,0,0,0
bioRxiv,10.1101/2019.12.31.892026,2020-01-02,FALSE,2.1,5,0,0,0
bioRxiv,10.1101/2019.12.31.892059,2020-01-02,FALSE,14.05,31,0,0,0
bioRxiv,10.1101/2020.01.02.893040,2020-01-02,FALSE,3.85,10,0,0,0
bioRxiv,10.1101/2020.01.02.893198,2020-01-02,FALSE,4.1,9,0,0,0
bioRxiv,10.1101/2019.12.30.890921,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.01.892422,2020-01-02,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.02.893065,2020-01-02,FALSE,4.2,8,0,0,0
bioRxiv,10.1101/2020.01.01.891705,2020-01-02,FALSE,1.5,4,0,0,0
bioRxiv,10.1101/2019.12.31.892042,2020-01-02,FALSE,0.25,1,0,0,0
bioRxiv,10.1101/2019.12.31.876946,2020-01-02,FALSE,2.35,6,0,0,0
bioRxiv,10.1101/2019.12.31.892109,2020-01-02,FALSE,19.15,37,0,0,0
bioRxiv,10.1101/2019.12.31.891051,2020-01-02,FALSE,3.25,8,0,0,0
bioRxiv,10.1101/2020.01.01.884544,2020-01-02,FALSE,1.5,5,0,0,0
bioRxiv,10.1101/2019.12.31.892208,2020-01-02,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.01.890277,2020-01-02,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.01.888610,2020-01-02,FALSE,2.5,7,0,0,0
bioRxiv,10.1101/2020.01.01.891739,2020-01-02,FALSE,3.75,7,0,0,0
bioRxiv,10.1101/2020.01.01.891473,2020-01-02,FALSE,8.35,15,0,0,0
bioRxiv,10.1101/2020.01.01.892455,2020-01-02,FALSE,3.6,9,0,0,0
bioRxiv,10.1101/2020.01.01.892398,2020-01-02,FALSE,0.75,2,0,0,0
bioRxiv,10.1101/2020.01.01.892562,2020-01-02,FALSE,3.2,8,0,0,0
bioRxiv,10.1101/2020.01.01.892463,2020-01-02,FALSE,7.8,15,0,0,0
bioRxiv,10.1101/2020.01.01.892414,2020-01-02,FALSE,18.534,20,1,0,0
bioRxiv,10.1101/2020.01.02.884874,2020-01-02,FALSE,10.78,7,1,0,0
bioRxiv,10.1101/2020.01.01.892612,2020-01-02,FALSE,8.15,12,0,0,0
bioRxiv,10.1101/2020.01.02.890939,2020-01-02,FALSE,6.95,17,0,0,0
bioRxiv,10.1101/2020.01.02.884155,2020-01-02,FALSE,9.784,5,1,0,0
bioRxiv,10.1101/2020.01.02.892604,2020-01-02,FALSE,17.58,14,1,0,0
bioRxiv,10.1101/2020.01.02.892430,2020-01-02,FALSE,6.35,15,0,0,0
bioRxiv,10.1101/2020.01.02.892844,2020-01-02,FALSE,11.05,20,0,0,0
bioRxiv,10.1101/2020.01.02.892927,2020-01-02,FALSE,2.85,5,0,0,0
bioRxiv,10.1101/2020.01.02.892943,2020-01-02,FALSE,28.95,47,0,0,0
bioRxiv,10.1101/2020.01.02.892661,2020-01-02,FALSE,8.7,18,0,0,0
bioRxiv,10.1101/2020.01.02.893081,2020-01-03,FALSE,3.5,10,0,0,0
bioRxiv,10.1101/2020.01.02.893248,2020-01-02,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.02.893289,2020-01-03,FALSE,4.7,7,0,0,0
bioRxiv,10.1101/2020.01.01.892539,2020-01-02,FALSE,4.35,11,0,0,0
bioRxiv,10.1101/2020.01.03.893594,2020-01-03,FALSE,3.35,9,0,0,0
bioRxiv,10.1101/2020.01.02.893420,2020-01-03,FALSE,3.35,8,0,0,0
bioRxiv,10.1101/2020.01.03.894246,2020-01-03,FALSE,10.534,8,1,0,0
bioRxiv,10.1101/2020.01.02.893412,2020-01-03,FALSE,0.75,3,0,0,0
bioRxiv,10.1101/2020.01.03.893503,2020-01-03,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.02.893453,2020-01-03,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.03.894188,2020-01-03,FALSE,11.4,19,0,0,0
bioRxiv,10.1101/2020.01.03.894162,2020-01-03,FALSE,2.35,6,0,0,0
bioRxiv,10.1101/2020.01.02.893271,2020-01-03,FALSE,10.55,20,0,0,0
bioRxiv,10.1101/2020.01.02.893487,2020-01-03,FALSE,8.58,5,1,0,0
bioRxiv,10.1101/2020.01.02.893438,2020-01-03,FALSE,2.5,8,0,0,0
bioRxiv,10.1101/2020.01.03.893149,2020-01-03,FALSE,9.05,16,0,0,0
bioRxiv,10.1101/2020.01.02.893362,2020-01-03,FALSE,17.958,7,1,1,0
bioRxiv,10.1101/2020.01.03.891242,2020-01-03,FALSE,8.2,15,0,0,0
bioRxiv,10.1101/2020.01.03.893669,2020-01-03,FALSE,10.85,22,0,0,0
bioRxiv,10.1101/2020.01.03.893677,2020-01-03,FALSE,2.85,6,0,0,0
bioRxiv,10.1101/2020.01.02.893321,2020-01-03,FALSE,9.65,18,0,0,0
bioRxiv,10.1101/2020.01.03.893610,2020-01-03,FALSE,15.35,30,0,0,0
bioRxiv,10.1101/2020.01.02.893388,2020-01-03,FALSE,1,4,0,0,0
bioRxiv,10.1101/2020.01.03.893941,2020-01-03,FALSE,2.25,5,0,0,0
bioRxiv,10.1101/2020.01.03.893057,2020-01-03,FALSE,13.4,27,0,0,0
bioRxiv,10.1101/2020.01.02.893461,2020-01-03,FALSE,7.85,17,0,0,0
bioRxiv,10.1101/2020.01.03.893339,2020-01-03,FALSE,0.5,2,0,0,0
bioRxiv,10.1101/2020.01.03.892869,2020-01-03,FALSE,10.284,6,1,0,0
bioRxiv,10.1101/2020.01.03.893867,2020-01-03,FALSE,4.75,13,0,0,0
bioRxiv,10.1101/2020.01.03.893891,2020-01-03,FALSE,3.45,8,0,0,0
bioRxiv,10.1101/2020.01.03.894097,2020-01-03,FALSE,5.25,13,0,0,0
bioRxiv,10.1101/2020.01.03.894063,2020-01-03,FALSE,1.25,4,0,0,0
bioRxiv,10.1101/2020.01.03.894014,2020-01-03,FALSE,7.45,18,0,0,0
