doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/19000828,0.75,3,0,0,0,0,0,10.1136/bmjopen-2019-030513,3.5,6,1,0,0,0,0
10.1101/19002394,0.5,2,0,0,0,0,0,10.1038/s41390-019-0677-0,74.75,3,0,0,11,0,0
10.1101/19003327,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19003855,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19003889,5.4,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004218,3.75,7,0,0,0,0,0,10.1093/ijnp/pyz072,0,0,0,0,0,0,0
10.1101/19004283,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004523,3.1,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004721,6.35,8,0,0,0,0,0,10.1080/2326263x.2019.1709260,18,24,0,0,0,0,0
10.1101/19004804,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005124,4.1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005140,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005157,9.25,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005231,8.7,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005421,0.75,3,0,0,0,0,0,10.1007/s10552-020-01291-3,1,1,0,0,0,0,0
10.1101/19005439,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005454,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005462,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005470,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005496,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005520,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005538,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005546,1.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005579,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005603,5.55,9,0,0,0,0,0,10.1109/jbhi.2020.2977925,0.25,1,0,0,0,0,0
10.1101/19005611,6.45,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005629,7.25,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005652,9.25,1,0,0,1,0,0,10.1021/acs.est.9b05490,71,9,0,0,9,0,0
10.1101/19005702,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
