covid_preprint,Manuscript number,"Has the author list changed? (1 = author added, 2 = author removed,  3 = corresponding author changed, 4 = 1 + 3, 5 = 2 + 3)","Has the abstract changed? (-1 = No abstract in published paper, 0 = No change or minor: change in wording, if any, does not change main conclusion(s), 1 = Yes, significant: altered wording or numbers leading to a softening/strengthening of main conclusions(s), 2 = Yes, major: a discrete change in the main conclusion(s))","Does the change between preprint and paper in the main figures (including tables) reflect a change in content or outcomes? (0 = No, no real changes at all (including reorganisation), 1 = No, panels or tables have just been moved around (including to supplement if available) 2 = Yes, significant additional content/outcomes have been added, 3 = Yes, significant content/outcomes have been removed, 4 = Both added and removed)
",How many figures/panels in the preprint (not supplement)?  [Figure 1],How many figures/panels in the preprint (not supplement)?  [Figure 2],How many figures/panels in the preprint (not supplement)?  [Figure 3],How many figures/panels in the preprint (not supplement)?  [Figure 4],How many figures/panels in the preprint (not supplement)?  [Figure 5],How many figures/panels in the preprint (not supplement)?  [Figure 6],How many figures/panels in the preprint (not supplement)?  [Figure 7],How many figures/panels in the preprint (not supplement)?  [Figure 8 ],How many figures/panels in the preprint (not supplement)?  [Figure 9],How many figures/panels in the preprint (not supplement)?  [Figure 10 or more (combine additional)],How many tables in the preprint (not supplement)?,How many figure panels and tables in the preprint in total?,How many figures/panels in the main paper (not supplement)?  [Figure 1],How many figures/panels in the main paper (not supplement)?  [Figure 2],How many figures/panels in the main paper (not supplement)?  [Figure 3],How many figures/panels in the main paper (not supplement)?  [Figure 4],How many figures/panels in the main paper (not supplement)?  [Figure 5],How many figures/panels in the main paper (not supplement)?  [Figure 6],How many figures/panels in the main paper (not supplement)?  [Figure 7],How many figures/panels in the main paper (not supplement)?  [Figure 8 ],How many figures/panels in the main paper (not supplement)?  [Figure 9],How many figures/panels in the main paper (not supplement)?  [Figure 10 or more (combine additional)],How many tables in the paper (not supplement)?,How many figure panels and tables in the paper in total?,"Does the preprint have a supplement? How many files or items (figures, spreadsheets, extended methods)?","If the preprint does have a supplement, does it contain figures? (0 = No, 1 = Yes)","Does the paper have a supplement? How many files or items (figures, spreadsheets, extended methods)?","If the paper does have a supplement, does it contain figures? (0 = No, 1 = Yes)","Is the source data (including code) more accessible after publication? (-2 = Less accessible, -1 = Same as preprint - request, 0 = Same as preprint - supp/repo, 1 = Better)
","Are open peer reviews and decision letters available? (0 = No, 1 = Yes)",,,,,,
FALSE,1,0,1,0,1,1,1,,,,,,,,1,4,1,1,1,,,,,,,,1,4,3,1,3,1,-1,0,,,,,,
FALSE,2,4,-1,0,1,3,,,,,,,,,4,8,1,3,,,,,,,,,4,8,5,1,0,0,-1,0,,,,,,
FALSE,3,1,0,0,2,1,1,1,,,,,,,1,6,2,1,1,1,,,,,,,1,6,5,1,5,1,-1,0,,,,,,
FALSE,4,0,0,1,4,1,2,1,,,,,,,0,8,4,3,2,1,,,,,,,0,10,0,,5,1,1,0,,,,,,
FALSE,5,3,0,3,1,1,1,1,1,1,,,,,0,6,1,1,1,1,1,,,,,,0,5,2,1,3,1,-1,0,,,,,,
FALSE,6,0,0,2,1,1,1,1,,,,,,,4,8,1,1,1,1,1,,,,,,4,9,1,0,1,0,-1,0,,,,,,
FALSE,7,0,0,2,1,1,2,1,1,1,1,,,,1,9,1,1,2,1,1,2,1,,,,1,10,2,0,3,0,0,0,,,,,,
FALSE,8,0,0,0,1,,,,,,,,,,0,1,1,,,,,,,,,,0,1,3,0,3,0,-2,0,,,,,,
FALSE,9,0,0,0,2,1,,,,,,,,,2,5,2,1,,,,,,,,,2,5,2,0,3,0,-1,0,,,,,,
FALSE,10,3,0,1,1,4,1,,,,,,,,4,10,4,1,,,,,,,,,4,9,2,0,5,1,-1,0,,,,,,
FALSE,11,0,1,2,,,,,,,,,,,5,5,1,1,,,,,,,,,3,5,0,,1,0,1,1,,,,,,
FALSE,12,0,0,0,1,,,,,,,,,,0,1,1,,,,,,,,,,0,1,0,,0,,0,0,,,,,,
FALSE,14,3,1,1,2,4,5,,,,,,,,0,11,2,2,3,,,,,,,,2,9,0,,0,,-1,0,,,,,,
FALSE,15,0,0,0,1,1,1,1,,,,,,,3,7,1,1,1,1,,,,,,,3,7,3,0,3,0,-1,0,,,,,,
FALSE,16,0,0,0,1,,,,,,,,,,5,6,1,,,,,,,,,,5,6,0,,0,,-1,0,,,,,,
FALSE,17,0,0,1,1,,,,,,,,,,4,5,1,,,,,,,,,,3,4,5,0,5,0,0,0,,,,,,
FALSE,18,0,0,0,3,1,4,3,1,1,2,,,,1,16,3,1,4,3,1,1,2,,,,1,16,1,0,0,,-1,0,,,,,,
FALSE,19,1,0,0,1,,,,,,,,,,0,1,1,,,,,,,,,,0,1,5,1,5,1,-1,0,,,,,,
FALSE,20,0,1,0,6,6,,,,,,,,,1,13,6,6,,,,,,,,,1,13,5,1,5,1,-1,0,,,,,,
FALSE,21,0,0,0,1,1,10,,,,,,,,4,16,1,1,10,,,,,,,,4,16,5,1,5,1,1,0,,,,,,
FALSE,22,0,0,0,1,1,1,2,,,,,,,2,7,1,1,1,2,,,,,,,2,7,0,,3,0,-1,0,,,,,,
FALSE,23,0,0,2,1,1,1,1,1,,,,,,0,5,1,1,1,1,1,1,1,,,,1,8,3,1,0,,0,0,,,,,,
FALSE,24,0,0,0,1,1,1,1,1,1,1,,,,4,11,1,1,1,1,1,1,1,,,,4,11,5,1,5,1,0,0,,,,,,
FALSE,25,0,1,0,6,8,5,,,,,,,,2,21,6,8,5,,,,,,,,2,21,5,1,5,1,-1,0,,,,,,
FALSE,26,0,0,0,1,,,,,,,,,,5,6,1,,,,,,,,,,5,6,5,0,5,0,0,0,,,,,,
FALSE,27,0,1,2,1,1,1,,,,,,,,4,7,1,1,1,1,,,,,,,4,8,3,0,3,0,-1,0,,,,,,
FALSE,29,0,0,2,1,2,2,2,3,2,,,,,3,15,1,1,2,2,2,3,2,,,,3,16,4,0,5,0,-1,0,,,,,,
FALSE,30,0,0,1,1,8,8,8,2,2,,,,,0,29,1,8,9,8,2,,,,,,3,31,5,,5,1,0,0,,,,,,
FALSE,31,0,0,0,5,2,4,5,,,,,,,0,16,5,2,4,5,,,,,,,0,16,5,0,5,0,0,0,,,,,,
FALSE,32,0,0,0,1,1,1,1,1,,,,,,4,9,1,1,1,1,1,,,,,,3,8,0,,0,,0,0,,,,,,
FALSE,33,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,1,0,1,0,,0,,,,,,
FALSE,34,0,0,0,4,2,2,4,,,,,,,0,12,4,2,2,4,,,,,,,3,15,5,1,1,0,-1,0,,,,,,
FALSE,35,0,1,3,1,2,1,1,1,,,,,,2,8,1,2,1,1,,,,,,,2,7,0,0,0,0,-1,0,,,,,,
FALSE,36,0,0,0,1,6,,,,,,,,,2,9,1,6,,,,,,,,,2,9,5,1,5,1,-1,0,,,,,,
FALSE,37,0,0,0,4,2,2,2,1,2,,,,,0,13,4,2,2,2,1,2,,,,,0,13,5,1,5,1,0,0,,,,,,
FALSE,38,0,0,0,2,2,1,1,1,,,,,,0,7,2,2,1,1,1,,,,,,0,7,5,1,5,1,,0,,,,,,
FALSE,39,0,0,2,5,2,,,,,,,,,2,9,5,1,1,,,,,,,,2,9,1,1,4,1,-1,0,,,,,,
FALSE,40,0,0,1,1,6,1,1,1,,,,,,2,12,6,1,1,1,1,,,,,,2,12,5,1,5,1,0,0,,,,,,
FALSE,41,0,0,2,1,1,1,1,1,1,1,1,1,1,2,12,1,1,1,1,1,1,1,1,1,1,2,12,5,1,5,1,0,1,,,,,,
FALSE,42,0,0,0,2,2,2,,,,,,,,2,8,2,2,2,,,,,,,,2,8,0,,0,,0,1,,,,,,
FALSE,43,0,0,0,1,,,,,,,,,,5,6,1,,,,,,,,,,5,6,5,1,5,1,-1,0,,,,,,
FALSE,44,0,0,0,1,3,3,3,,,,,,,1,11,1,3,3,3,,,,,,,1,11,5,1,5,1,0,0,,,,,,
FALSE,45,0,0,0,,,,,,,,,,,3,3,,,,,,,,,,,3,3,5,0,5,0,,0,,,,,,
FALSE,46,0,0,0,1,1,3,1,,,,,,,4,10,1,1,3,1,,,,,,,4,10,0,,0,,-1,0,,,,,,
FALSE,48,0,1,0,,,,,,,,,,,4,4,,,,,,,,,,,4,4,0,,0,,1,0,,,,,,
FALSE,49,0,0,0,,,,,,,,,,,2,2,,,,,,,,,,,2,2,2,0,3,0,-1,0,,,,,,
FALSE,50,1,1,2,1,2,,,,,,,,,2,5,1,2,,,,,,,,,3,6,5,1,5,1,-1,0,,,,,,
FALSE,51,0,0,2,1,1,1,1,,,,,,,2,6,1,1,1,1,1,,,,,,2,7,0,,1,0,1,1,,,,,,
FALSE,52,1,1,2,1,4,,,,,,,,,2,7,1,4,,,,,,,,,3,8,1,0,2,0,-1,0,,,,,,
FALSE,53,0,0,0,2,1,4,,,,,,,,2,9,2,1,4,,,,,,,,2,9,4,0,4,0,0,0,,,,,,
FALSE,54,0,1,0,2,1,6,,,,,,,,3,12,2,1,6,,,,,,,,3,12,0,,0,,0,0,,,,,,
