doi,comments_count
10.1101/19000109,0
10.1101/19000133,0
10.1101/19000166,0
10.1101/19000174,0
10.1101/19000190,0
10.1101/19000232,0
10.1101/19000257,0
10.1101/19000265,0
10.1101/19000273,0
10.1101/19000281,0
10.1101/19000307,0
10.1101/19000356,0
10.1101/19000414,0
10.1101/19000422,0
10.1101/19000430,0
10.1101/19000463,0
10.1101/19000489,0
10.1101/19000497,0
10.1101/19000505,0
10.1101/19000521,0
10.1101/19000539,43
10.1101/19000554,0
10.1101/19000562,0
10.1101/19000570,0
10.1101/19000596,0
10.1101/19000638,0
10.1101/19000646,0
10.1101/19000653,0
10.1101/19000661,0
10.1101/19000687,0
10.1101/19000711,0
10.1101/19000760,0
10.1101/19000786,0
10.1101/19000828,0
10.1101/19000844,1
10.1101/19000851,0
10.1101/19000877,0
10.1101/19000919,0
10.1101/19000927,0
10.1101/19000943,0
10.1101/19000950,0
10.1101/19000968,0
10.1101/19001008,0
10.1101/19001016,0
10.1101/19001024,1
10.1101/19001032,0
10.1101/19001073,0
10.1101/19001115,0
10.1101/19001123,0
10.1101/19001149,0
10.1101/19001156,0
10.1101/19001180,0
10.1101/19001206,0
10.1101/19001214,0
10.1101/19001222,0
10.1101/19001230,0
10.1101/19001248,2
10.1101/19001255,0
10.1101/19001305,0
10.1101/19001313,0
10.1101/19001321,1
10.1101/19001362,0
10.1101/19001370,0
10.1101/19001396,0
10.1101/19001404,0
10.1101/19001479,0
10.1101/19001487,0
10.1101/19001495,0
10.1101/19001511,0
10.1101/19001529,0
10.1101/19001537,0
10.1101/19001545,0
10.1101/19001578,0
10.1101/19001586,0
10.1101/19001594,0
10.1101/19001610,0
10.1101/19001685,0
10.1101/19001693,0
10.1101/19001719,0
10.1101/19001727,0
10.1101/19001768,0
10.1101/19001784,0
10.1101/19001792,0
10.1101/19001834,0
10.1101/19001842,0
10.1101/19001859,0
10.1101/19001867,0
10.1101/19001875,0
10.1101/19001883,0
10.1101/19001909,2
10.1101/19001917,0
10.1101/19001925,0
10.1101/19001958,0
10.1101/19002014,0
10.1101/19002022,0
10.1101/19002030,0
10.1101/19002048,0
10.1101/19002063,0
10.1101/19002089,0
10.1101/19002097,0
10.1101/19002105,0
10.1101/19002121,0
10.1101/19002139,0
10.1101/19002147,0
10.1101/19002154,0
10.1101/19002162,0
10.1101/19002204,0
10.1101/19002212,0
10.1101/19002220,0
10.1101/19002238,0
10.1101/19002246,0
10.1101/19002345,0
10.1101/19002352,0
10.1101/19002378,0
10.1101/19002386,0
10.1101/19002394,0
10.1101/19002402,0
10.1101/19002410,0
10.1101/19002436,0
10.1101/19002485,0
10.1101/19002501,0
10.1101/19002519,0
10.1101/19002527,0
10.1101/19002535,0
10.1101/19002550,0
10.1101/19002576,0
10.1101/19002584,0
10.1101/19002592,0
10.1101/19002634,0
10.1101/19002659,0
10.1101/19002683,0
10.1101/19002691,0
10.1101/19002717,0
10.1101/19002725,0
10.1101/19002741,0
10.1101/19002766,0
10.1101/19002774,0
10.1101/19002782,0
10.1101/19002808,0
10.1101/19002832,0
10.1101/19002857,0
10.1101/19002865,0
10.1101/19002899,0
10.1101/19002923,0
10.1101/19002949,0
10.1101/19002972,0
10.1101/19002998,0
10.1101/19003004,0
10.1101/19003012,0
10.1101/19003038,0
10.1101/19003053,0
10.1101/19003061,0
10.1101/19003087,0
10.1101/19003129,0
10.1101/19003152,0
10.1101/19003160,0
10.1101/19003194,0
10.1101/19003202,0
10.1101/19003210,0
10.1101/19003228,0
10.1101/19003236,0
10.1101/19003251,0
10.1101/19003269,0
10.1101/19003301,0
10.1101/19003319,0
10.1101/19003327,0
10.1101/19003335,0
10.1101/19003376,0
10.1101/19003426,0
10.1101/19003434,0
10.1101/19003442,0
10.1101/19003467,0
10.1101/19003475,0
10.1101/19003483,0
10.1101/19003491,0
10.1101/19003509,0
10.1101/19003525,0
10.1101/19003533,0
10.1101/19003541,0
10.1101/19003558,0
10.1101/19003590,0
10.1101/19003616,0
10.1101/19003657,0
10.1101/19003665,0
10.1101/19003681,0
10.1101/19003707,0
10.1101/19003715,0
10.1101/19003749,2
10.1101/19003756,0
10.1101/19003772,0
10.1101/19003780,1
10.1101/19003798,0
10.1101/19003814,0
10.1101/19003822,1
10.1101/19003830,0
10.1101/19003848,0
10.1101/19003855,0
10.1101/19003871,0
10.1101/19003889,0
10.1101/19003897,0
10.1101/19003913,0
10.1101/19003939,0
10.1101/19003947,0
10.1101/19004010,0
10.1101/19004044,0
10.1101/19004051,0
10.1101/19004069,0
10.1101/19004143,0
10.1101/19004150,0
10.1101/19004184,0
10.1101/19004218,0
10.1101/19004234,0
10.1101/19004242,0
10.1101/19004259,0
10.1101/19004267,0
10.1101/19004283,0
10.1101/19004291,0
10.1101/19004309,0
10.1101/19004317,0
10.1101/19004333,0
10.1101/19004358,0
10.1101/19004382,0
10.1101/19004390,0
10.1101/19004416,0
10.1101/19004432,0
10.1101/19004440,0
10.1101/19004465,0
10.1101/19004473,0
10.1101/19004499,0
10.1101/19004523,0
10.1101/19004598,0
10.1101/19004606,0
10.1101/19004622,0
10.1101/19004671,0
10.1101/19004689,0
10.1101/19004705,0
10.1101/19004713,0
10.1101/19004721,0
10.1101/19004762,0
10.1101/19004770,0
10.1101/19004796,0
10.1101/19004804,0
10.1101/19004812,0
10.1101/19004820,0
10.1101/19004846,0
10.1101/19004853,0
10.1101/19004879,0
10.1101/19004895,0
10.1101/19004929,0
10.1101/19004937,0
10.1101/19004960,0
10.1101/19004986,0
10.1101/19004994,0
10.1101/19005025,0
10.1101/19005041,0
10.1101/19005058,0
10.1101/19005074,0
10.1101/19005082,0
10.1101/19005116,0
10.1101/19005124,0
10.1101/19005132,1
10.1101/19005140,0
10.1101/19005157,0
10.1101/19005165,0
10.1101/19005181,0
10.1101/19005199,0
10.1101/19005207,0
10.1101/19005223,0
10.1101/19005231,0
10.1101/19005249,0
10.1101/19005280,0
10.1101/19005298,0
10.1101/19005413,0
10.1101/19005421,0
10.1101/19005439,0
10.1101/19005454,0
10.1101/19005462,0
10.1101/19005470,0
10.1101/19005496,0
10.1101/19005504,0
10.1101/19005512,0
10.1101/19005520,0
10.1101/19005538,0
10.1101/19005546,0
10.1101/19005579,0
10.1101/19005603,0
10.1101/19005611,0
10.1101/19005629,0
10.1101/19005652,0
10.1101/19005702,0
10.1101/19005710,0
10.1101/19005728,0
10.1101/19005744,0
10.1101/19005793,0
10.1101/19005819,0
10.1101/19005868,0
10.1101/19005884,0
10.1101/19005892,0
10.1101/19005918,0
10.1101/19005934,0
10.1101/19005942,0
10.1101/19005967,0
10.1101/19005975,0
10.1101/19005983,0
10.1101/19005991,0
10.1101/19006007,0
10.1101/19006015,0
10.1101/19006023,0
10.1101/19006031,0
10.1101/19006056,0
10.1101/19006080,0
10.1101/19006098,0
10.1101/19006106,0
10.1101/19006148,0
10.1101/19006155,0
10.1101/19006163,0
10.1101/19006171,0
10.1101/19006189,0
10.1101/19006197,0
10.1101/19006221,0
10.1101/19006247,0
10.1101/19006254,0
10.1101/19006288,0
10.1101/19006296,0
10.1101/19006312,0
10.1101/19006320,0
10.1101/19006346,0
10.1101/19006353,0
10.1101/19006379,0
10.1101/19006395,0
10.1101/19006403,0
10.1101/19006429,0
10.1101/19006452,0
10.1101/19006478,0
10.1101/19006502,0
10.1101/19006510,0
10.1101/19006569,0
10.1101/19006577,0
10.1101/19006585,0
10.1101/19006601,0
10.1101/19006619,0
10.1101/19006627,0
10.1101/19006635,0
10.1101/19006650,0
10.1101/19006668,0
10.1101/19006676,0
10.1101/19006684,0
10.1101/19006718,0
10.1101/19006726,0
10.1101/19006759,0
10.1101/19006767,0
10.1101/19006783,0
10.1101/19006809,0
10.1101/19006817,0
10.1101/19006833,0
10.1101/19006841,0
10.1101/19006858,0
10.1101/19006866,0
10.1101/19006908,0
10.1101/19006924,0
10.1101/19006932,0
10.1101/19006940,0
10.1101/19006957,0
10.1101/19006965,0
10.1101/19007005,0
10.1101/19007013,0
10.1101/19007021,0
10.1101/19007039,0
10.1101/19007047,0
10.1101/19007054,0
10.1101/19007062,0
10.1101/19007096,0
10.1101/19007104,0
10.1101/19007138,0
10.1101/19007146,0
10.1101/19007153,0
10.1101/19007161,0
10.1101/19007187,0
10.1101/19007195,0
10.1101/19007229,0
10.1101/19007237,0
10.1101/19007260,0
10.1101/19007278,0
10.1101/19007286,0
10.1101/19007294,0
10.1101/19007328,0
10.1101/19007336,0
10.1101/19007344,0
10.1101/19007377,0
10.1101/19007385,0
10.1101/19007393,0
10.1101/19007401,0
10.1101/19007419,0
10.1101/19007435,0
10.1101/19007450,0
10.1101/19007500,0
10.1101/19007526,2
10.1101/19007542,0
10.1101/19007559,0
10.1101/19007575,0
10.1101/19007583,0
10.1101/19007617,0
10.1101/19007633,0
10.1101/19007666,0
10.1101/19007674,0
10.1101/19007682,0
10.1101/19007708,0
10.1101/19007724,0
10.1101/19007740,0
10.1101/19007757,0
10.1101/19007765,0
10.1101/19007773,0
10.1101/19007781,0
10.1101/19007815,0
10.1101/19007823,0
10.1101/19007831,0
10.1101/19007849,0
10.1101/19007856,0
10.1101/19007864,0
10.1101/19007872,0
10.1101/19007898,0
10.1101/19007906,0
10.1101/19007914,0
10.1101/19007922,0
10.1101/19007955,0
10.1101/19007963,0
10.1101/19007971,0
10.1101/19007989,0
10.1101/19007997,0
10.1101/19008011,0
10.1101/19008029,0
10.1101/19008037,0
10.1101/19008045,0
10.1101/19008052,0
10.1101/19008078,0
10.1101/19008086,0
10.1101/19008102,0
10.1101/19008128,0
10.1101/19008136,0
10.1101/19008144,0
10.1101/19008151,0
10.1101/19008169,0
10.1101/19008185,0
10.1101/19008201,0
10.1101/19008227,0
10.1101/19008250,0
10.1101/19008268,0
10.1101/19008276,0
10.1101/19008284,0
10.1101/19008300,0
10.1101/19008318,0
10.1101/19008326,0
10.1101/19008342,0
10.1101/19008367,0
10.1101/19008383,0
10.1101/19008391,0
10.1101/19008409,0
10.1101/19008417,0
10.1101/19008433,0
10.1101/19008458,0
10.1101/19008474,0
10.1101/19008482,0
10.1101/19008490,0
10.1101/19008508,0
10.1101/19008516,0
10.1101/19008524,0
