source,doi,posted_date,covid_preprint,collection_date,abstract_views,full_text_views,pdf_downloads
medRxiv,10.1101/2019.12.28.19015628,2020-01-02,FALSE,Jan 2020,247,NA,112
medRxiv,10.1101/2019.12.28.19015628,2020-01-02,FALSE,Feb 2020,102,NA,92
medRxiv,10.1101/2019.12.28.19015628,2020-01-02,FALSE,Mar 2020,134,NA,40
medRxiv,10.1101/2019.12.28.19015628,2020-01-02,FALSE,Apr 2020,12,NA,7
medRxiv,10.1101/2019.12.28.19015941,2020-01-02,FALSE,Jan 2020,129,NA,37
medRxiv,10.1101/2019.12.28.19015941,2020-01-02,FALSE,Feb 2020,110,NA,33
medRxiv,10.1101/2019.12.28.19015941,2020-01-02,FALSE,Mar 2020,74,NA,14
medRxiv,10.1101/2019.12.28.19015941,2020-01-02,FALSE,Apr 2020,4,NA,1
medRxiv,10.1101/2019.12.30.19016162,2020-01-02,FALSE,Jan 2020,127,NA,86
medRxiv,10.1101/2019.12.30.19016162,2020-01-02,FALSE,Feb 2020,131,NA,60
medRxiv,10.1101/2019.12.30.19016162,2020-01-02,FALSE,Mar 2020,163,NA,84
medRxiv,10.1101/2019.12.30.19016162,2020-01-02,FALSE,Apr 2020,39,NA,11
medRxiv,10.1101/2019.12.28.19015974,2020-01-02,FALSE,Jan 2020,118,NA,72
medRxiv,10.1101/2019.12.28.19015974,2020-01-02,FALSE,Feb 2020,74,NA,59
medRxiv,10.1101/2019.12.28.19015974,2020-01-02,FALSE,Mar 2020,134,NA,35
medRxiv,10.1101/2019.12.28.19015974,2020-01-02,FALSE,Apr 2020,7,NA,4
medRxiv,10.1101/2019.12.28.19016048,2020-01-02,FALSE,Jan 2020,82,NA,38
medRxiv,10.1101/2019.12.28.19016048,2020-01-02,FALSE,Feb 2020,54,NA,35
medRxiv,10.1101/2019.12.28.19016048,2020-01-02,FALSE,Mar 2020,98,NA,34
medRxiv,10.1101/2019.12.28.19016048,2020-01-02,FALSE,Apr 2020,10,NA,2
medRxiv,10.1101/2019.12.29.19016097,2020-01-02,FALSE,Jan 2020,92,NA,40
medRxiv,10.1101/2019.12.29.19016097,2020-01-02,FALSE,Feb 2020,59,NA,37
medRxiv,10.1101/2019.12.29.19016097,2020-01-02,FALSE,Mar 2020,79,NA,14
medRxiv,10.1101/2019.12.29.19016097,2020-01-02,FALSE,Apr 2020,5,NA,2
medRxiv,10.1101/2019.12.31.19016220,2020-01-02,FALSE,Jan 2020,347,NA,127
medRxiv,10.1101/2019.12.31.19016220,2020-01-02,FALSE,Feb 2020,76,NA,41
medRxiv,10.1101/2019.12.31.19016220,2020-01-02,FALSE,Mar 2020,80,NA,9
medRxiv,10.1101/2019.12.31.19016220,2020-01-02,FALSE,Apr 2020,6,NA,1
medRxiv,10.1101/2019.12.30.19016121,2020-01-02,FALSE,Jan 2020,66,NA,40
medRxiv,10.1101/2019.12.30.19016121,2020-01-02,FALSE,Feb 2020,84,NA,47
medRxiv,10.1101/2019.12.30.19016121,2020-01-02,FALSE,Mar 2020,120,NA,49
medRxiv,10.1101/2019.12.30.19016121,2020-01-02,FALSE,Apr 2020,19,NA,10
medRxiv,10.1101/2019.12.31.19016246,2020-01-02,FALSE,Jan 2020,201,NA,52
medRxiv,10.1101/2019.12.31.19016246,2020-01-02,FALSE,Feb 2020,89,NA,33
medRxiv,10.1101/2019.12.31.19016246,2020-01-02,FALSE,Mar 2020,113,NA,34
medRxiv,10.1101/2019.12.31.19016246,2020-01-02,FALSE,Apr 2020,8,NA,6
medRxiv,10.1101/2019.12.30.19016105,2020-01-02,FALSE,Jan 2020,161,NA,75
medRxiv,10.1101/2019.12.30.19016105,2020-01-02,FALSE,Feb 2020,114,NA,36
medRxiv,10.1101/2019.12.30.19016105,2020-01-02,FALSE,Mar 2020,136,NA,25
medRxiv,10.1101/2019.12.30.19016105,2020-01-02,FALSE,Apr 2020,14,NA,4
medRxiv,10.1101/2019.12.28.19016089,2020-01-02,FALSE,Jan 2020,98,NA,40
medRxiv,10.1101/2019.12.28.19016089,2020-01-02,FALSE,Feb 2020,57,NA,32
medRxiv,10.1101/2019.12.28.19016089,2020-01-02,FALSE,Mar 2020,63,NA,20
medRxiv,10.1101/2019.12.28.19016089,2020-01-02,FALSE,Apr 2020,4,NA,2
medRxiv,10.1101/2019.12.28.19016022,2020-01-02,FALSE,Jan 2020,102,NA,72
medRxiv,10.1101/2019.12.28.19016022,2020-01-02,FALSE,Feb 2020,87,NA,55
medRxiv,10.1101/2019.12.28.19016022,2020-01-02,FALSE,Mar 2020,88,NA,33
medRxiv,10.1101/2019.12.28.19016022,2020-01-02,FALSE,Apr 2020,7,NA,7
bioRxiv,10.1101/2019.12.31.892166,2020-01-02,FALSE,Jan 2020,1366,113,480
bioRxiv,10.1101/2019.12.31.892166,2020-01-02,FALSE,Feb 2020,230,83,86
bioRxiv,10.1101/2019.12.31.892166,2020-01-02,FALSE,Mar 2020,229,227,136
bioRxiv,10.1101/2019.12.31.892166,2020-01-02,FALSE,Apr 2020,31,27,25
bioRxiv,10.1101/2020.01.01.892620,2020-01-02,FALSE,Jan 2020,682,39,174
bioRxiv,10.1101/2020.01.01.892620,2020-01-02,FALSE,Feb 2020,270,38,46
bioRxiv,10.1101/2020.01.01.892620,2020-01-02,FALSE,Mar 2020,205,22,33
bioRxiv,10.1101/2020.01.01.892620,2020-01-02,FALSE,Apr 2020,15,3,2
medRxiv,10.1101/2019.12.30.19016139,2020-01-03,FALSE,Jan 2020,160,NA,59
medRxiv,10.1101/2019.12.30.19016139,2020-01-03,FALSE,Feb 2020,67,NA,39
medRxiv,10.1101/2019.12.30.19016139,2020-01-03,FALSE,Mar 2020,72,NA,14
medRxiv,10.1101/2019.12.30.19016139,2020-01-03,FALSE,Apr 2020,5,NA,6
medRxiv,10.1101/2019.12.31.19016212,2020-01-03,FALSE,Jan 2020,293,NA,117
medRxiv,10.1101/2019.12.31.19016212,2020-01-03,FALSE,Feb 2020,106,NA,53
medRxiv,10.1101/2019.12.31.19016212,2020-01-03,FALSE,Mar 2020,102,NA,39
medRxiv,10.1101/2019.12.31.19016212,2020-01-03,FALSE,Apr 2020,2,NA,1
medRxiv,10.1101/2019.12.31.19016253,2020-01-03,FALSE,Jan 2020,234,NA,136
medRxiv,10.1101/2019.12.31.19016253,2020-01-03,FALSE,Feb 2020,92,NA,83
medRxiv,10.1101/2019.12.31.19016253,2020-01-03,FALSE,Mar 2020,121,NA,64
medRxiv,10.1101/2019.12.31.19016253,2020-01-03,FALSE,Apr 2020,9,NA,9
bioRxiv,10.1101/2019.12.31.892091,2020-01-01,FALSE,Jan 2020,992,82,377
bioRxiv,10.1101/2019.12.31.892091,2020-01-01,FALSE,Feb 2020,138,31,48
bioRxiv,10.1101/2019.12.31.892091,2020-01-01,FALSE,Mar 2020,192,18,55
bioRxiv,10.1101/2019.12.31.892091,2020-01-01,FALSE,Apr 2020,11,6,7
bioRxiv,10.1101/2019.12.31.891614,2020-01-01,FALSE,Jan 2020,161,8,98
bioRxiv,10.1101/2019.12.31.891614,2020-01-01,FALSE,Feb 2020,51,14,17
bioRxiv,10.1101/2019.12.31.891614,2020-01-01,FALSE,Mar 2020,42,10,10
bioRxiv,10.1101/2019.12.31.891614,2020-01-01,FALSE,Apr 2020,3,0,2
bioRxiv,10.1101/2019.12.31.891622,2020-01-01,FALSE,Jan 2020,254,17,76
bioRxiv,10.1101/2019.12.31.891622,2020-01-01,FALSE,Feb 2020,43,28,23
bioRxiv,10.1101/2019.12.31.891622,2020-01-01,FALSE,Mar 2020,33,17,11
bioRxiv,10.1101/2019.12.31.891622,2020-01-01,FALSE,Apr 2020,2,0,2
bioRxiv,10.1101/2019.12.31.892075,2020-01-01,FALSE,Jan 2020,329,56,181
bioRxiv,10.1101/2019.12.31.892075,2020-01-01,FALSE,Feb 2020,116,37,57
bioRxiv,10.1101/2019.12.31.892075,2020-01-01,FALSE,Mar 2020,84,27,43
bioRxiv,10.1101/2019.12.31.892075,2020-01-01,FALSE,Apr 2020,7,1,9
bioRxiv,10.1101/2019.12.31.891234,2020-01-01,FALSE,Jan 2020,467,24,197
bioRxiv,10.1101/2019.12.31.891234,2020-01-01,FALSE,Feb 2020,83,16,56
bioRxiv,10.1101/2019.12.31.891234,2020-01-01,FALSE,Mar 2020,64,17,29
bioRxiv,10.1101/2019.12.31.891234,2020-01-01,FALSE,Apr 2020,0,2,1
bioRxiv,10.1101/2019.12.31.892133,2020-01-02,FALSE,Jan 2020,164,11,73
bioRxiv,10.1101/2019.12.31.892133,2020-01-02,FALSE,Feb 2020,53,15,13
