doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2019.12.06.868182,Dec 2019,405,7,69
10.1101/2019.12.06.868182,Jan 2020,41,16,17
10.1101/2019.12.06.868182,Feb 2020,96,33,16
10.1101/2019.12.06.868182,Mar 2020,41,25,23
10.1101/2019.12.06.868182,Apr 2020,17,37,15
10.1101/2019.12.08.868828,Dec 2019,1825,56,596
10.1101/2019.12.08.868828,Jan 2020,459,84,256
10.1101/2019.12.08.868828,Feb 2020,355,186,159
10.1101/2019.12.08.868828,Mar 2020,268,249,158
10.1101/2019.12.08.868828,Apr 2020,348,275,204
10.1101/2019.12.09.869412,Dec 2019,512,6,74
10.1101/2019.12.09.869412,Jan 2020,69,6,18
10.1101/2019.12.09.869412,Feb 2020,44,17,22
10.1101/2019.12.09.869412,Mar 2020,24,6,10
10.1101/2019.12.09.869412,Apr 2020,13,2,14
10.1101/2019.12.09.869511,Dec 2019,279,3,57
10.1101/2019.12.09.869511,Jan 2020,85,7,20
10.1101/2019.12.09.869511,Feb 2020,36,18,11
10.1101/2019.12.09.869511,Mar 2020,32,7,18
10.1101/2019.12.09.869511,Apr 2020,11,4,9
10.1101/2019.12.09.869933,Dec 2019,610,12,135
10.1101/2019.12.09.869933,Jan 2020,238,52,146
10.1101/2019.12.09.869933,Feb 2020,163,52,79
10.1101/2019.12.09.869933,Mar 2020,137,91,99
10.1101/2019.12.09.869933,Apr 2020,64,35,51
10.1101/2019.12.10.870121,Dec 2019,389,2,85
10.1101/2019.12.10.870121,Jan 2020,153,11,30
10.1101/2019.12.10.870121,Feb 2020,68,28,21
10.1101/2019.12.10.870121,Mar 2020,241,13,50
10.1101/2019.12.10.870121,Apr 2020,72,4,43
10.1101/2019.12.10.871905,Dec 2019,1152,30,262
10.1101/2019.12.10.871905,Jan 2020,120,23,70
10.1101/2019.12.10.871905,Feb 2020,59,27,22
10.1101/2019.12.10.871905,Mar 2020,55,16,42
10.1101/2019.12.10.871905,Apr 2020,34,6,29
10.1101/2019.12.10.872275,Dec 2019,484,4,70
10.1101/2019.12.10.872275,Jan 2020,84,13,23
10.1101/2019.12.10.872275,Feb 2020,72,27,21
10.1101/2019.12.10.872275,Mar 2020,41,10,12
10.1101/2019.12.10.872275,Apr 2020,16,5,10
10.1101/2019.12.11.860585,Dec 2019,201,4,49
10.1101/2019.12.11.860585,Jan 2020,41,8,18
10.1101/2019.12.11.860585,Feb 2020,46,21,11
10.1101/2019.12.11.860585,Mar 2020,38,22,22
10.1101/2019.12.11.860585,Apr 2020,42,7,22
10.1101/2019.12.11.861377,Dec 2019,946,24,283
10.1101/2019.12.11.861377,Jan 2020,342,41,141
10.1101/2019.12.11.861377,Feb 2020,212,47,116
10.1101/2019.12.11.861377,Mar 2020,154,31,75
10.1101/2019.12.11.861377,Apr 2020,111,14,67
10.1101/2019.12.11.865972,Dec 2019,801,21,221
10.1101/2019.12.11.865972,Jan 2020,184,49,101
10.1101/2019.12.11.865972,Feb 2020,307,32,63
10.1101/2019.12.11.865972,Mar 2020,114,41,45
10.1101/2019.12.11.865972,Apr 2020,28,9,18
10.1101/2019.12.11.869693,Dec 2019,1306,82,386
10.1101/2019.12.11.869693,Jan 2020,260,88,114
10.1101/2019.12.11.869693,Feb 2020,181,98,97
10.1101/2019.12.11.869693,Mar 2020,172,116,119
10.1101/2019.12.11.869693,Apr 2020,98,67,74
10.1101/2019.12.11.871210,Dec 2019,625,9,136
10.1101/2019.12.11.871210,Jan 2020,379,20,60
10.1101/2019.12.11.871210,Feb 2020,200,25,28
10.1101/2019.12.11.871210,Mar 2020,97,26,19
10.1101/2019.12.11.871210,Apr 2020,57,6,18
10.1101/2019.12.11.871335,Dec 2019,449,4,74
10.1101/2019.12.11.871335,Jan 2020,67,9,18
10.1101/2019.12.11.871335,Feb 2020,73,27,22
10.1101/2019.12.11.871335,Mar 2020,54,17,18
10.1101/2019.12.11.871335,Apr 2020,16,3,11
10.1101/2019.12.11.871681,Dec 2019,538,3,158
10.1101/2019.12.11.871681,Jan 2020,61,15,34
10.1101/2019.12.11.871681,Feb 2020,54,16,20
10.1101/2019.12.11.871681,Mar 2020,40,13,22
10.1101/2019.12.11.871681,Apr 2020,44,18,35
10.1101/2019.12.11.871699,Dec 2019,576,21,86
10.1101/2019.12.11.871699,Jan 2020,85,18,28
10.1101/2019.12.11.871699,Feb 2020,260,48,64
10.1101/2019.12.11.871699,Mar 2020,64,24,21
10.1101/2019.12.11.871699,Apr 2020,37,25,24
10.1101/2019.12.11.871855,Dec 2019,306,6,67
10.1101/2019.12.11.871855,Jan 2020,47,11,19
10.1101/2019.12.11.871855,Feb 2020,57,36,18
10.1101/2019.12.11.871855,Mar 2020,37,20,11
10.1101/2019.12.11.871855,Apr 2020,19,6,12
10.1101/2019.12.11.872051,Dec 2019,2811,125,1241
10.1101/2019.12.11.872051,Jan 2020,597,89,289
10.1101/2019.12.11.872051,Feb 2020,240,80,116
10.1101/2019.12.11.872051,Mar 2020,283,42,62
10.1101/2019.12.11.872051,Apr 2020,144,31,77
10.1101/2019.12.11.872143,Dec 2019,590,8,106
10.1101/2019.12.11.872143,Jan 2020,69,19,19
10.1101/2019.12.11.872143,Feb 2020,62,30,19
10.1101/2019.12.11.872143,Mar 2020,90,29,27
10.1101/2019.12.11.872143,Apr 2020,36,17,26
10.1101/2019.12.11.872218,Dec 2019,384,9,74
10.1101/2019.12.11.872218,Jan 2020,57,14,17
10.1101/2019.12.11.872218,Feb 2020,42,23,18
10.1101/2019.12.11.872218,Mar 2020,28,27,12
10.1101/2019.12.11.872218,Apr 2020,14,16,9
10.1101/2019.12.11.872267,Dec 2019,672,17,118
10.1101/2019.12.11.872267,Jan 2020,74,26,28
10.1101/2019.12.11.872267,Feb 2020,66,33,14
10.1101/2019.12.11.872267,Mar 2020,66,22,16
10.1101/2019.12.11.872267,Apr 2020,17,15,14
10.1101/2019.12.11.872424,Dec 2019,532,10,112
10.1101/2019.12.11.872424,Jan 2020,101,13,25
10.1101/2019.12.11.872424,Feb 2020,75,21,22
10.1101/2019.12.11.872424,Mar 2020,44,13,14
